factor,periods,rank_ic,ic_ir,win,s_i,direction,turnover,net_excess,gross_excess,sharpe,max_dd,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
alpha191_050,120,-0.045503458306114644,-0.20271097512869127,0.48333333333333334,0.004458291029064119,0,0.8496205069080041,-29.525627978212388,-16.679365913763366,-0.7219004546754115,67.70641803751012,0.051492386671155674,-0.0002204026417381044,0.051492386671155674,-0.2294341914366085,-0.027665998123450098,0.009307219578966007
alpha191_051,120,-0.04550292606426217,-0.2027110224429532,0.48333333333333334,0.0044582399222058,0,0.8496205069080041,-29.525628060603125,-16.679365996154104,-0.7219004589907081,67.70641817520418,0.05149283142714323,-0.00021996090473436943,0.05149283142714323,-0.22943762058545078,-0.027671301359919295,0.009301972202805292
alpha191_126,120,-0.04966005250793471,-0.17195432712399414,0.5166666666666667,0.004411951472204468,0,0.06622807548193739,-15.170839456364781,-14.16947095507789,-0.04589484543391519,62.1392460291194,-0.08658711968865371,-0.2114183453364013,-0.08658711968865371,-0.33269317450822317,-0.47526992960465037,-0.4098328852585989
alpha191_011,120,-0.03011554756483641,-0.31857715022973493,0.4583333333333333,0.004397307438706241,0,0.7866471239029649,-33.3920912497065,-21.497986736293672,-0.9033899640000951,70.2997655200077,0.02782430703743676,0.010933235891652607,0.02782430703743676,-0.07056095466455004,0.007645433049254176,0.02153491879473033
alpha191_006,120,0.03515817706381417,0.24562537529804154,0.5083333333333333,0.004389834721681295,1,0.8184129078368749,-13.330844878181708,-0.9564417116881607,-0.06222768127151413,44.282936619808886,0.07977408329249377,-0.007280066692693296,-0.03362559838675005,0.07977408329249377,-0.00020656875914821978,-0.016288645399752413
alpha191_049,120,0.04516906916060591,0.20146411911603254,0.475,0.004322474696622995,1,0.8693785152649162,-10.553523267850837,2.591479882954695,0.05155025144127053,39.940328518118825,0.22728082658460663,-0.0002160391849646633,-0.05170885284848697,0.22728082658460663,0.025618296675024972,-0.011233244364624676
alpha191_169,120,-0.042566272320699004,-0.21440398776797595,0.4583333333333333,0.00418292349290543,0,0.6219459905589829,-28.33719475319354,-18.93337137594172,-0.4957894263738017,71.65696472657707,0.029321158714276683,-0.011550846111418015,0.029321158714276683,-0.1110166975042761,-0.021511540605448482,0.010232315046166895
alpha191_153,120,-0.04690424574487843,-0.1622202657184203,0.5166666666666667,0.003931223257495737,0,0.050173042019113205,-14.65717750225657,-13.898561106927577,-0.027690269537672604,61.96991781261597,-0.08823382889936024,-0.21116536669023622,-0.08823382889936024,-0.3230490950737437,-0.47508117993044685,-0.41065227530753795
alpha191_007,120,0.04426166334722562,0.1857185042654686,0.475,0.003904599708745517,1,0.8793203994744221,-13.784766498214058,-0.4894420581607939,-0.07281682171996097,33.62239623442832,0.27575396678110947,0.18189401792460957,0.21063101504602555,0.27575396678110947,0.23664105725216888,0.24473198917758554
alpha191_047,120,0.04139902684417991,0.20805701187682152,0.45,0.003876011018913777,1,0.7519789234747805,-7.179391737575267,4.190529585363412,0.17760314929250628,37.79845690349182,0.21011108324074187,-0.027760270154640256,-0.0846096707658875,0.21011108324074187,-0.02641210341717355,-0.06575616826581655
alpha191_038,120,0.02475362975599656,0.30694355820322217,0.5083333333333333,0.0038622999911732936,1,0.8799663443084289,-26.06717277747589,-12.762081651532442,-0.516762355311223,61.99514988343152,0.07162607758241744,0.00622715151130365,-0.022742378399917232,0.07162607758241744,0.0339711976746068,0.0167636916771256
alpha191_072,120,0.042066639772772293,0.197580831518916,0.45,0.003740202749479974,1,0.643364438595875,-4.702263357571295,5.025406953998335,0.26627614135367367,35.99692594267642,0.2748770233313977,-0.034959870432708755,-0.08577578824678796,0.2748770233313977,-0.03318721763593444,-0.07206144399977973
alpha191_140,120,0.05010211941477911,0.1484079707252366,0.49166666666666664,0.003655813986762249,1,0.890786265163246,-15.336418224610131,-1.867729895341852,-0.09388321343443906,38.03568011464682,0.256948259079589,-0.058434616743519754,0.002468387455164913,0.256948259079589,0.08174644099935584,0.10810169212169764
alpha191_057,120,-0.036567975421802776,-0.1968965451162457,0.49166666666666664,0.0035400531110373044,0,0.8677925147381269,-26.02055254096083,-12.89952971812035,-0.5897615790230674,60.899474759721585,0.07152587437561554,0.011185373172836851,0.07152587437561554,-0.14532295922985153,0.008336894338438212,0.04610490894183908
alpha191_129,120,-0.053199627013582204,-0.1339556172139972,0.475,0.0033850347142754503,0,0.3027337746170595,-16.267471471142922,-11.690136798932983,-0.043461488698398165,62.633493530522564,-0.1280266160013209,-0.14667847034954432,-0.1280266160013209,-0.3652878126826059,-0.45537901898149935,-0.43728127331642763
alpha191_128,120,-0.037646798848451235,-0.1761915645444808,0.5083333333333333,0.0033717995978433234,0,0.8055493497301005,-26.666758515068278,-14.48685234714916,-0.5863913963752307,64.04260689147765,0.027728520169443223,0.006978450930313109,0.027728520169443223,-0.21784406143211013,-0.022135022677754124,-0.0018025906322734079
