run,objective,record_band,band,formula,rec_net,rec_turnover,net,turnover,periods,rank_ic,ic_ir,s_i,rank_ic_ir,rank_ic_win,s_i_rank,s_i_rank_y2026,gross,net_y2026,periods_y2026,s_i_y2026,net_last12,s_i_last12,neu_net,neu_turnover,neu_s_i,corr_size,corr_max_seat,corr_max_seat_name,add6_na,add6_nc,add6_comb,delta_points,rank_key
net_nosize_s9831,aligned_net_excess,gt60,gt60,"Div(Div(Div(Div(ratio_bm_lyr,TsDelta(adxr,10)),cal_20d_amt_ma),bs_total_assets),bs_total_assets)",0.0018387066364288,0.736961841583252,0.0018386851072311,0.7369619011878967,120,-0.0064075994305312,0.208732937813049,0.0,-0.0714730640514139,0.3833333253860473,0.0001755554560908,0.0002834624523476,0.1132673245668411,-0.0631647401690483,15,0.0,-0.0910641725510358,0.0,0.0216161220788955,0.7579346895217896,0.0,-0.0025905278926733,0.0026879833843282,book_to_market_lf_minus_size,0.1991808352416667,0.8419799817846207,0.4187271588514126,-3479.3546306898447,-0.0630769624410029
sizeneut_wide_s9821,aligned_size_neutral_net,gt60,le30,"Sign(SLog1p(TsMed(TsMed(vr,10),40)))",-0.0008162342190742,0.6513845324516296,-0.0333082172870636,0.0543153099715709,120,-0.0097953202202916,0.0429050174796759,0.0001891207683617,-0.0630979812379937,0.5083333253860474,0.0003141830019237,0.0101535692163849,-0.025095742419362,-0.0480099078923463,15,0.0045951918923713,-0.0985162720173597,0.0048335924659103,0.0057587970256805,0.6604943871498108,0.0024960573470436,-0.0359013901825552,0.0359013901825552,size_only,0.1995748368424204,0.9987568851626332,0.4893555656916691,-371.70472971856094,-0.047852816391384445
sizeneut_wide_s9821,aligned_size_neutral_net,gt60,le30,Sign(wma120),-0.0040737420201301,0.6049322485923767,-0.0594562590748071,0.0561400838196277,120,0.0079583628103137,0.1478731191535168,0.0004118897692263,0.1749855960680419,0.4000000059604645,0.0005570395523359,0.004202976717522,-0.0509678784012794,-0.0475646461263299,15,0.0038774718126331,-0.0972620879799127,0.0052599133630551,-0.0087001575708389,0.6162565350532532,0.0003853294029922,-0.0449145635838206,0.0891233930476337,impact60,0.2000389389275547,1.0,0.4900077877855109,-343.0069575895192,-0.04728612635016195
sizeneut_wide_s9821,aligned_size_neutral_net,gt60,le30,Sign(macr4),-0.0059314992427826,0.6096777319908142,-0.0583174464404583,0.054207406938076,120,0.0067480877041816,0.2131979859316621,0.0004555815849667,0.1637161163161275,0.3666666746139526,0.0004050826029926,2.9091248968345048e-05,-0.0501212865114212,-0.0491454758137464,15,0.0002171589150367,-0.0977515402704477,0.0004567424600465,0.0083931159138679,0.6240783333778381,0.0004786596626585,-0.044052545036154,0.0828760322766346,impact60,0.2001299635436807,1.0,0.4900259927087361,-342.205940967611,-0.0489429345122501
sizeneut_wide_s9821,aligned_size_neutral_net,gt60,le30,"TsMin(Sign(TsMinMaxDiff(vol5,20)),20)",-0.0095713105201721,0.6840240955352783,-0.0340560382872819,0.0559296682476997,120,-0.0096720242872834,0.0062427663114773,2.7171083603211716e-05,-0.0630375571445442,0.5083333253860474,0.0003099312268753,0.0086883751693946,-0.0255994724482297,-0.0437991945192217,15,0.0066065482645789,-0.1024310936674475,0.0061508574597845,-0.0095070879220962,0.6916834712028503,0.0004109245722877,-0.0315729104233734,0.0376554447095626,t10_size_plus_impact_bm,0.19923744166584,0.9936049433833488,0.4869697128556749,-476.68225450230506,-0.04364422890578405
net_nosize_s9831,aligned_net_excess,gt60,gt60,"Div(Div(Sub(Ref(ratio_bm_lyr,20),bbiboll_down),cal_20d_amt_ma),cal_30d_up_down_diff)",-0.0103892883539199,0.6621378064155579,-0.0103892820954322,0.6621378064155579,120,0.0028739189729094,0.2106568449235082,0.0001614428626596,0.0245327090172781,0.4166666567325592,2.9377090091938216e-05,2.5646530703886256e-08,0.0897259542346,-0.2956654852151871,15,1.2948848545514985e-05,-0.4061421145677567,0.0025290788939012,0.0228896617412567,0.6689211130142212,0.0005276533894152,-0.0013801065964143,0.1318306466842006,t10_size_plus_impact_bm,0.1995171745388742,0.4033567264698152,0.2214139618191917,-12161.135300107566,-0.2956507966701411
net_nosize_s9831,aligned_net_excess,gt60,gt60,"Div(TsDelta(lwr1,40),bs_total_assets)",-0.012324745953083,0.7613614201545715,-0.0123247467041015,0.761361300945282,120,0.0201642829924821,0.0833276148608273,0.0,0.134416663686698,0.5,0.0013552078227419,0.0026271446314777,0.102793081998825,-0.131973918646574,15,0.0,-0.1333653454989194,0.0,0.0216964515209198,0.7495863437652588,0.0,0.0121121859371512,0.0590187699020691,t10_size_plus_impact_bm,0.1991808352416667,0.4021897667373746,0.2208215620801519,-12187.200888625315,-0.13129631473520306
net_wide_s9801,aligned_net_excess,le30,le30,"Inv(Greater(a_share_market_val,TsStd(TsSkew(gr_oper_profit_lyr,10),30)))",0.2176598877668381,0.1323905289173126,0.2025106087088584,0.104349747300148,120,0.0565424747765064,0.2521656136082257,0.0,0.2640756925799452,0.6000000238418579,0.0089588962680685,0.006947299347239,0.2182882905006408,0.1294626709163188,15,0.0,0.084600786280632,0.0,0.0362006609916686,0.633476734161377,0.0,0.9999989559401316,0.9999989559401316,size_only,0.1991808352416667,1.0,0.4898361670483333,-350.5582700253351,0.13394211905035305
net_wide_s9801,aligned_net_excess,le30,le30,"Inv(Sub(a_share_market_val,TsMed(TsStd(Sub(a_share_market_val,TsStd(vol250,30)),30),40)))",0.2152213184773921,0.091977335512638,0.2152212945699691,0.0919773280620575,120,0.0559396520256996,0.2673649676038191,0.0,0.2534126067092485,0.5833333134651184,0.008269223990659,0.0052889606782122,0.2291282665729522,0.1174567373335361,15,0.0,0.0621917977988719,0.0,0.0517824623823165,0.5219237804412842,0.0,0.9993864545032493,0.9993864545032493,size_only,0.1991808352416667,1.0,0.4898361670483333,-350.5582700253351,0.12159134932886559
net_wide_s9801,aligned_net_excess,30_40,le30,"Inv(Greater(a_share_market_val,TsDiv(TsCov(TsMax(ratio_peg_ttm,50),net_profit,10),10)))",0.1639509782552719,0.3351598680019378,0.1876110908746719,0.1855283677577972,120,0.057305559515953,0.2721633202493724,0.0,0.2669078827235506,0.6083333492279053,0.0093046444579829,0.0065065668240018,0.2156629800796508,0.0867663597106933,15,0.0,0.0231011623889207,0.0,0.0638904616355896,0.6474556922912598,0.0,0.997100944086134,0.997100944086134,size_only,0.1991808352416667,0.6284689836944412,0.3226472097108318,-7706.872392875401,0.09141868193968475
net_nosize_s9831,aligned_net_excess,30_40,30_40,"Div(Div(Div(Div(ratio_bm_lyr,TsMax(cal_5d_return,10)),cal_20d_amt_ma),bs_total_assets),bs_total_assets)",0.1407562763214111,0.388842761516571,0.1407562557935714,0.3888427317142486,120,0.0691859722137451,0.1233338731472639,0.0,0.4545395094684962,0.6416666507720947,0.0201789774681057,0.0341537411962409,0.1995492768287658,0.1322970670223236,15,0.0,0.1261533472180366,0.0,0.0767709935903549,0.5050027370452881,0.0,0.7277234584097326,0.7277234584097326,size_only,0.1991808352416667,0.834063564216784,0.4151647709458861,-3636.099698533013,0.14238655575637646
net_nosize_s9831,aligned_net_excess,30_40,30_40,"Div(Div(Div(TsSum(total_liabilities,30),cal_20d_amt_ma),qtyr_5_20),bs_total_assets)",0.1365181185722351,0.3176734745502472,0.13651808552742,0.3176734447479248,120,0.0975610762834549,0.3586431820397112,0.0,0.5831010920298988,0.699999988079071,0.0398215784061889,0.0155025350372512,0.1845503103733062,0.0596166870832443,15,0.0,0.0192448946177959,0.0,0.0907668125867843,0.3337797820568084,0.0,0.5335638577299892,0.6857346386521359,t10_size_plus_impact_bm,0.1991808352416667,0.8298548509616648,0.4132708499810825,-3719.4322209843695,0.07952747628633874
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(Div(ratio_bm_lyr,bbiboll_down),cal_20d_amt_ma),bs_total_assets),TsRank(sp_ratio_ttm,30))",0.1351610826730728,0.4530750811100006,0.1351610996961593,0.4530750513076782,120,0.0994293242692947,0.0602520459737137,0.0,0.5213323459728599,0.7416666746139526,0.0384448282144773,0.0179769207951711,0.2036660474538803,0.0896803296089172,15,0.0,0.0700464846253395,0.0,0.0758888247013092,0.5255106091499329,0.0,0.7740587975367098,0.7740587975367098,size_only,0.1991808352416667,0.6848419937174065,0.3480150642211662,-6590.686794420687,0.10890274371615585
net_wide_s9802,aligned_net_excess,40_60,40_60,"Div(Div(Inv(close),amount),amount)",0.1226838742017746,0.4041869342327118,0.1226838696956634,0.4041869640350342,120,0.1154206916689872,-0.0912344993171411,0.0,0.6059333068662519,0.7083333134651184,0.0495388779239823,0.014962611611081,0.1837969386577606,0.0565643625497817,15,0.0,0.0025836395323276,0.0,0.0913900723457336,0.4270005226135254,0.0,0.6311096107101994,0.7673156128011459,t10_size_plus_impact_bm,0.1991808352416667,0.7125557902254899,0.3604862726498038,-6041.953623560634,0.08133380151177286
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Rank(TsMean(TsPctChange(cal_30d_vol_dec_ratio,10),10)),cal_20d_amt_ma),bs_total_assets)",0.1122088370561599,0.4655802547931671,0.1122088370561599,0.4655802547931671,120,0.0665261670947074,0.1364470649512584,0.0,0.3955251351183263,0.625,0.016445482018149,0.0091072398783843,0.1826045715808868,0.054161567902565,15,0.0,0.0329133525252342,0.0,0.053063282418251,0.5317608118057251,0.0,0.7567720382469451,0.7751051707129465,impact60,0.1991808352416667,0.7001952201299274,0.3549240161068007,-6286.692911452771,0.0623843089116395
net_wide_s9802,aligned_net_excess,40_60,40_60,"Div(Inv(amount),amount)",0.1066530778884887,0.4094881415367126,0.1066530403375625,0.4094881415367126,120,0.1117954775691032,-0.0910489093919005,0.0,0.6683344143427636,0.7416666746139526,0.0554149346557216,0.0211683053080877,0.1685676473379135,0.0633754772186279,15,0.0,0.0199194360494613,0.0,0.0705733909606933,0.4500988125801086,0.0,0.6415221673644476,0.804660636429692,impact60,0.1991808352416667,0.7790788614976384,0.3904216547222706,-4724.796812372093,0.09108294454648869
sizeneut_wide_s9821,aligned_size_neutral_net,40_60,le30,"Sign(SLog1p(TsMax(TsStd(TsPctChange(TsDelta(TsDelta(davol10,50),40),30),50),20)))",0.0982560624361038,0.4042003154754638,-0.0404700510978698,0.0659481957554817,120,0.003864174010232,0.1019835132518473,0.0001707688861639,0.0422802182852908,0.4166666567325592,6.807421531238439e-05,0.0073350222614505,-0.030498683899641,-0.0414211088508367,15,0.0070130878793604,-0.1144545321777463,0.0074356133812603,0.1037466477155685,0.4146991670131683,0.0031558983134354,-0.0914872665682801,0.1467016287252403,impact60,0.1995366037545081,1.0,0.4899073207509016,-347.4275071123287,-0.04138707174318051
net_wide_s9801,aligned_net_excess,40_60,40_60,"Inv(Sub(a_share_market_val,TsStd(TsWMA(TsMax(long_term_liabilities_due_one_year,20),40),30)))",0.0917401531219482,0.4032415747642517,0.0917401826620102,0.4032415449619293,120,0.0160461403429508,0.1131328282340961,1.5127877782640734e-05,0.1310349869118731,0.4749999940395355,0.0009987377376341,0.0031916746928993,0.1527103042602539,0.0219953644037246,15,0.0,0.0218131121098995,0.0,-0.0287479669690132,0.7828680872917175,1.0623290033584085e-06,0.380389866958961,0.380389866958961,size_only,0.1992123516537138,0.9125326462579098,0.4504821611468022,-2082.1345296927057,0.02249473327254165
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(Div(adx,bbiboll_down),cal_20d_amt_ma),bs_total_assets),amp1)",0.08583103723526,0.5119993686676025,0.0858310282230377,0.5119994282722473,120,0.079346664249897,-0.0037606438197217,0.0,0.4490761656774792,0.6916666626930237,0.0246459477456858,0.0114342210699029,0.1632453417778015,0.0463189062595367,15,0.0,0.0301586299717426,0.0,0.0341818751335144,0.5945591926574707,0.0,0.7676851249527675,0.7676851249527675,size_only,0.1991808352416667,0.6321279166872191,0.3242937295575819,-7634.425519618396,0.0586418801323796
net_wide_s9801,aligned_net_excess,40_60,40_60,"Inv(Greater(a_share_market_val,TsStd(TsDelta(TsMed(operating_revenue,10),40),30)))",0.0828539216995239,0.502149224281311,0.0828538966655731,0.502149224281311,120,0.029256172478199,0.228351823576549,0.0,0.1635336607979359,0.5166666507720947,0.0024719239002072,2.300598715260829e-06,0.1587788593769073,-0.0237411740541458,15,0.0,0.0320081564068794,0.0,-0.0006881189703941,0.6938718557357788,0.0,0.6682900561053524,0.6682900561053524,size_only,0.1991808352416667,0.5858366246628476,0.3034626481466147,-8550.993101700953,-0.0225052121040422
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(Div(ratio_bm_lyr,vma250),cal_20d_amt_ma),TsCorr(hma120,wma20,10)),bs_total_assets)",0.0778192126750946,0.5221739411354065,0.077819196653366,0.5221738815307617,120,0.0106066670268774,0.1046094241465438,0.0,0.0899896761130148,0.4333333373069763,0.0004136125669606,0.0025183156035141,0.1567718875408172,0.0333427581310272,15,0.0,0.0005132126390934,0.0,0.0001067928314209,0.7321240305900574,0.0,0.1896846107668701,0.1982797215232927,impact60,0.1991808352416667,0.871828930536932,0.4321591857899527,-2888.345445394082,0.0335495644145075
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(TsPctChange(sp_ratio_lyr,30),cal_20d_amt_ma),bs_total_assets),bs_total_assets)",0.0709204536437988,0.4828582406044006,0.0709204796791076,0.4828581511974334,120,0.0556409768760204,0.1898515370789345,0.0,0.3458781296436235,0.5416666865348816,0.010424373764634,0.0047529146140727,0.1439286321401596,0.0007485541820526,15,0.0,0.021025981798768,0.0,0.086088503909111,0.4693488180637359,0.0,0.0305118604755416,0.3177850054477467,t10_size_plus_impact_bm,,,,,0.005960741064369599
sizeneut_wide_s9821,aligned_size_neutral_net,40_60,30_40,"TsRank(bs_fin_lease_payable,20)",0.0629003238201141,0.5303924679756165,-0.0814515372991561,0.3970223069190979,120,-0.0034936803858727,0.0096545021758527,8.15135477984026e-06,-0.0963648950215715,0.3333333432674408,0.0001122227178856,0.0037115738690323,-0.0214217644929885,0.0496342542529106,15,0.001472545338118,-0.0068087933957576,0.0002133543975323,0.0631505131244659,0.5405043959617615,0.0008242186584107,-0.1133145322738231,0.1133145322738231,size_only,0.1991978172307913,0.8619669146059499,0.4277246750188357,-3083.46391932323,0.049690365611853395
