selection,size,na,net_5y,turn_5y,sharpe_5y,dd_5y,nc_5y,comb_5y,win_rate_5y,net_1y,turn_1y,sharpe_1y,dd_1y,nc_1y,comb_1y,net_3m,turn_3m,sharpe_3m,dd_3m,nc_3m,comb_3m,comb_mean,comb_min,objective
size_only+impact60+t10_size_plus_impact_fscore+impact_abs_return60+t10_size_plus_impact_downside,5,0.2675412690275,26.4810201712998,19.375207563665338,1.1672113076803876,27.91395985551166,0.8840960421635871,0.4513514727791142,0.8,12.385003147160162,18.748774798042934,0.7677324868094131,19.520724797526544,0.32362319793001415,0.19913869287400637,61.09578040753504,14.873622854486552,1.08748610482215,2.2255585400857814,1.0,0.5035082538055,0.3846661398195402,0.19913869287400637,0.4146661398195402
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact+t10_size_plus_impact_wc+impact_abs_return60,6,0.2492572105520833,25.636334855272608,18.157395396957103,1.1611094779836795,27.21324282121964,0.9200129016473046,0.46385724785170374,0.8,11.318902694178934,17.349602174678786,0.737704371265227,19.134508569207377,0.30897563983581355,0.18889048003653278,59.549382925330306,14.307245045463727,1.0889038108732703,2.2846471617070097,1.0,0.49985144211041665,0.38419972333288444,0.18889048003653278,0.41419972333288446
size_only+impact60+book_to_market_lf_minus_size+t10_nomcap_plus_impact+impact_abs_return60,5,0.2195134265825,25.973145677763554,15.940928127597632,1.1625348210639619,28.212544986002797,1.0,0.4939026853165,0.7833333333333333,9.837111602293103,15.338135066104785,0.6823934282618711,19.62183505726358,0.2788352621330852,0.16937855327638834,58.558411284807164,13.22880579180707,1.0672809840730362,2.5411810676664537,1.0,0.4939026853165,0.3857279746364628,0.16937855327638834,0.4140613079697961
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_wc+impact_abs_return60+t10_size_plus_impact_downside,6,0.24484738953958335,25.937936882530582,17.466849845426943,1.1578038059050804,28.1699452265162,0.9484331988655376,0.4757644173974086,0.7833333333333333,10.806989643449388,16.660829988481048,0.7124851326310675,19.579911401520945,0.2946370850067553,0.18155616616095654,58.403994869038996,13.874993948629728,1.0499570497142487,2.541256605543407,1.0,0.4989694779079167,0.38543002048876057,0.18155616616095654,0.4137633538220939
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact+impact_abs_return60,5,0.22345752673250002,25.485884815306576,14.557622886261425,1.145946682342961,29.308356436138528,1.0,0.4946915053465,0.7833333333333333,9.551143610692096,14.226211357251382,0.6710666825692937,19.809877585495027,0.27143378926569667,0.16683671051606352,56.73113342844531,12.285871819854913,1.031090080213893,2.6521528681228146,1.0,0.4946915053465,0.3854065737363545,0.16683671051606352,0.41373990706968783
size_only+impact60+book_to_market_lf_minus_size+reversal_chip_turn_size_eq+impact_abs_return60,5,0.2175927418925,26.099541030562268,16.30147588379183,1.1554479855739705,29.210556283874954,1.0,0.4935185483785,0.7833333333333333,10.003453064933606,15.592919672257807,0.6847351324998112,19.89764537509219,0.2786626498942457,0.16891674083091057,58.59617576614227,13.832177265921702,1.0600584071620924,2.595738896946953,1.0,0.4935185483785,0.38531794586263685,0.16891674083091057,0.41365127919597017
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact_abs_return60,6,0.22441036603541667,24.690125235672753,13.818899193469653,1.1503538814337675,28.028967425859307,1.0,0.49488207320708333,0.7833333333333333,9.127571617383836,13.018140490676771,0.6821712356784612,18.945440554669457,0.2672770107169532,0.1651567280297123,57.194854398677855,12.160315505268892,1.0575295033242864,2.5194410215809593,1.0,0.49488207320708333,0.38497362481462627,0.1651567280297123,0.4133069581479596
size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,6,0.25309180683125,25.340021168265825,17.224529561923628,1.1566323020405513,27.116017398583004,0.9565882183919128,0.4810830596426108,0.7833333333333333,10.146330759399719,16.55864464382572,0.6966430008205005,19.558461381826863,0.27223508986747574,0.17312415180661408,55.42557980215022,13.315381810471145,1.0213918327144322,2.4752509266259715,1.0,0.50061836136625,0.38494185760515826,0.17312415180661408,0.4132751909384916
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_aggregate+t10_size_plus_impact_wc+impact_abs_return60,6,0.24569191391666664,25.924002987259907,17.403486860605874,1.1571545330045792,28.21020985943814,0.9501473739908538,0.47670470107921753,0.7833333333333333,10.618740988473107,16.594401519861442,0.7068424344186299,19.57138804322611,0.2884002322670342,0.1789184873034987,58.220814564201916,13.833179950384084,1.048812288808102,2.5687147908149965,1.0,0.49913838278333333,0.38492052372201657,0.1789184873034987,0.4132538570553499
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,6,0.21071505474791666,24.894937739803495,12.606052846772872,1.1528544844740665,28.18996909151791,1.0,0.49214301094958335,0.7666666666666667,9.862579378996848,12.022894513568072,0.699210240298579,18.945241397636657,0.2960142294896479,0.1753494142199249,56.842701806151396,10.789868942953825,1.060958355516447,2.57251943831599,1.0,0.49214301094958335,0.3865451453730306,0.1753494142199249,0.41321181203969726
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_aggregate+impact_abs_return60,5,0.21538143411000002,25.705983197643217,13.325693113069207,1.152977207396127,29.47586270930297,1.0,0.493076286822,0.7833333333333333,9.733570613487277,13.01038566231918,0.6768918912794385,20.116256144861588,0.27767363712934207,0.16802942353020395,56.306308574555665,11.212881536298342,1.0246144846838894,2.73651922560042,1.0,0.493076286822,0.38472733239140133,0.16802942353020395,0.41306066572473465
