key,name,s_i,seat_turn,corr_size,corr_pool,seat_net,size_neutral_net,pool_turn,T2,T3,dNA,dNB_steady,dNB_first,Tstar_K1,NC6_2_K1,NC6_3_K1,dNC2_K1,dNC3_K1,dNC_exp_K1,dComb_K1,dpoints_K1,Tstar_K2,NC6_2_K2,NC6_3_K2,dNC2_K2,dNC3_K2,dNC_exp_K2,dComb_K2,dpoints_K2,Tstar_K3,NC6_2_K3,NC6_3_K3,dNC2_K3,dNC3_K3,dNC_exp_K3,dComb_K3,dpoints_K3,dpoints_mean,turn_bucket,size_pass,gate_pass
quality_net_margin_tsrank378,REPORT-HIST-NETMARGIN-6Q-10D-20260910,7.722337560115373e-08,0.1952297690639394,-0.0844548398390843,-0.1432593908087293,-0.042827378149952,-0.0155173937935048,0.1538302989036332,0.3076605978072664,0.4614908967108997,-0.0398360061663008,-0.0531146748884011,-0.0531148893977777,0.3012407605865208,1.0,0.6962692588573425,0.0,-0.005831511330862349,-0.0006805373723116361,-0.02686357926174078,-1181.9974875165944,0.34080343733333335,1.0,0.7781776149670453,0.0,-0.01613174532218653,-0.001882574679099168,-0.027404496049795172,-1205.7978261909875,0.42466909615544246,1.0,0.9696732726120616,0.0,-0.02010148066283224,-0.002345842793352522,-0.02761296670120918,-1214.9705348532038,-1200.921949520262,<=30%,True,False
growth_revenue,NEW-GROWTH-REV-TTM,3.918294338255119e-05,0.0760952300449054,-0.1468562201502424,-0.1939210157148176,-0.0253722450626663,0.0142546297695445,0.1490972484317449,0.2981944968634899,0.4472917452952348,-0.0397545359162863,-0.0530060478883818,-0.0531148893977777,0.3012407605865208,1.0,0.6986807595346973,0.0,-0.0034200106535074992,-0.00039911524326432515,-0.026682625803659835,-1174.0355353610328,0.34080343733333335,1.0,0.773800801974319,0.0,-0.020508558314912828,-0.002393348755350327,-0.027580030884098536,-1213.5213589003356,0.42466909615544246,1.0,0.9642194038594277,0.0,-0.02555534941546611,-0.002982309276784895,-0.02784506311874409,-1225.18277722474,-1204.246557162036,<=30%,True,False
paper_composite,paper-derived-composite,0.0106335410998721,0.094363359415713,0.537472003904885,0.7232684523572847,0.1160040831515824,-0.0020236011438516,0.1330712360609735,0.2661424721219471,0.3992137081829207,-0.0176829564235996,-0.0235772752314661,-0.0531148893977777,0.3012407605865208,0.8957166159537286,0.6731106153874674,-0.10428338404627135,-0.02899015480073741,-0.09549666419331754,-0.05476213650272595,-2409.5340061199418,0.34080343733333335,1.0,0.7555930126095228,0.0,-0.038716347679708996,-0.00451819777422204,-0.013821826614132973,-608.1603710218508,0.42466909615544246,1.0,0.9415310016735841,0.0,-0.04824375160130978,-0.005630045811872851,-0.014322158231075837,-630.1749621673368,-1215.9564464363766,<=30%,False,False
ev_ebitda_proxy,NEW-VALUE-EVEBITDA,0.0008008593080198,0.0713887252898342,0.0293191664227842,0.1083116924043785,-0.0132877677130588,-0.0469547771806463,0.1447448205205299,0.2894896410410599,0.4342344615615898,-0.0381677101566253,-0.0508902802088337,-0.0531148893977777,0.3012407605865208,0.9923564725435575,0.6855903160989489,-0.007643527456442478,-0.016510454089255888,-0.008678297794491804,-0.029350374111938166,-1291.4164609252794,0.34080343733333335,1.0,0.7708659270166286,0.0,-0.02344343327260323,-0.002735848662912797,-0.026676272002727614,-1173.755968120015,0.42466909615544246,1.0,0.9605623084223516,0.0,-0.029212444852542263,-0.003409092314291682,-0.02697923164584811,-1187.0861924173169,-1217.419540487537,<=30%,True,False
ltmom_exhigh252_21,NONHT-LTMOM-EXHIGH-252-21,0.0030903879122006,0.184958015006715,0.242314306329799,0.2576637135958627,-0.0040750646931667,-0.0871577995711007,0.1325331020806052,0.2650662041612104,0.3975993062418156,-0.0333978588979153,-0.0445304785305537,-0.0531148893977777,0.3012407605865208,0.9407180535427412,0.7097985626040857,-0.059281946457258816,0.007697792415880866,-0.05146541093076342,-0.0454246741841204,-1998.6856641012976,0.34080343733333335,1.0,0.8130568433765405,0.0,0.01874748308730867,0.0021878312762889218,-0.02128071519094684,-936.351468401661,0.42466909615544246,1.0,1.0,0.0,0.010225246725106163,0.0011932862928198892,-0.021728260433507906,-956.0434590743479,-1297.0268638591021,<=30%,True,False
momentum120,HT13-MOMENTUM-120D-D0,0.0123008781294459,0.3565887736029862,0.0706594317703039,0.2536700910310818,0.0279182702519016,-0.0386869933514118,0.1695215342299669,0.3390430684599339,0.5085646026899009,-0.0142093376119877,-0.0189457834826503,-0.0531148893977777,0.3012407605865208,0.8826453551928684,0.5884302367952455,-0.11735464480713165,-0.1136705333929593,-0.10353079586796717,-0.05606174988191037,-2466.7169948040564,0.34080343733333335,0.984815609422362,0.656543739614908,-0.015184390577637985,-0.13776562067432385,-0.027719120188568636,-0.02194649582618103,-965.6458163519653,0.42466909615544246,1.0,0.8181074659058518,0.0,-0.17166728736904202,-0.020033572435967203,-0.018487999337510386,-813.471970850457,-1415.2782606688263,30-40%,True,False
t10_size_plus_impact_dd120,T10-ADD-DD120-20260911,0.0293687738027083,0.3232768864483081,0.5367928144020148,0.6390318433192334,0.1916631139959775,0.0561861754726428,0.1910608592453714,0.3821217184907429,0.5731825777361144,0.0213487783739756,0.0284650378319675,-0.0531148893977777,0.3012407605865208,0.798079692600368,0.5320531284002453,-0.20192030739963196,-0.1700476417879595,-0.1746568594799527,-0.06436306784999496,-2831.9749853997782,0.34080343733333335,0.8920636949806304,0.5947091299870869,-0.10793630501936957,-0.1996002303021449,-0.10604811193461096,-0.03348913145459119,-1473.5217840020123,0.42466909615544246,1.0,0.741056459650631,0.0,-0.2487182936242628,-0.029025424865951468,0.001171077726305583,51.52741995744565,-1417.9897831481148,30-40%,False,False
value_bm,F-B08-260921-T10,0.0036038765657411,0.0567859707722071,0.0560183038953674,0.4392408158943029,0.0294210192839256,0.0210003679500618,0.1361956353220003,0.2723912706440006,0.408586905966001,-0.0323280908697058,-0.0431041211596078,-0.0531148893977777,0.3012407605865208,0.937480566987852,0.6883337816013083,-0.06251943301214802,-0.013766988586896511,-0.056830022747721164,-0.04712557081627841,-2073.52511591625,0.34080343733333335,1.0,0.7373160725966769,0.0,-0.05699328769255496,-0.006651116673721164,-0.024545063082978415,-1079.9827756510504,0.42466909615544246,1.0,0.9187564320962502,0.0,-0.0710183211786436,-0.008287838081547707,-0.02528158771650036,-1112.389859526016,-1421.9659170311054,<=30%,True,False
fnet01_raw,F-NET01-PLAT-20260914 (raw 口径),0.0104598282539182,0.1242392742667739,0.6120633564132248,0.813349670773182,0.1512283755414861,0.1105886022795651,0.1457620289541635,0.2915240579083271,0.4372860868624907,-0.0180448581860036,-0.0240598109146714,-0.0531148893977777,0.3012407605865208,0.8876578516383097,0.6089774257447,-0.11234214836169032,-0.09312334444350479,-0.11009931394443807,-0.06157459673233284,-2709.282256222645,0.34080343733333335,0.9919071214603319,0.6804976087237696,-0.008092878539668114,-0.1138117515654622,-0.020430271021778284,-0.021223527417135936,-933.8352063539812,0.42466909615544246,1.0,0.8479559557669929,0.0,-0.14181879750790094,-0.016550253669172038,-0.019477519608463126,-857.0108627723775,-1500.0427751163345,<=30%,False,False
turn_bias,HT13-TURN-BIAS-1M,0.0167861011265909,0.2618770320046995,0.0728957037946297,0.2598618207866506,0.0537205690203976,0.0330799499807941,0.1658439638202968,0.3316879276405937,0.4975318914608906,-0.0048651230346022,-0.0064868307128029,-0.0531148893977777,0.3012407605865208,0.8501532137833936,0.566768809188929,-0.1498467862166064,-0.1353319609992758,-0.1376823840982763,-0.06520048820062578,-2868.8214808275343,0.34080343733333335,0.9515844811042141,0.634389654069476,-0.04841551889578588,-0.15991970621975582,-0.05578280805324454,-0.0283456789803615,-1247.209875135906,0.42466909615544246,1.0,0.7905016543027047,0.0,-0.19927309897218914,-0.023255170650054474,-0.013708242148925968,-603.1626545527425,-1573.064670172061,<=30%,True,False
