factor_a_name,factor_a_handler,factor_a_platform_net_excess_pct,factor_b_name,factor_b_handler,factor_b_platform_net_excess_pct,correlation,abs_correlation,days,common_stocks_mean
OSR2-RET40,reversal40,5.030975999999999,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,-0.014800854034621556,0.014800854034621556,1211,4433.262592898431
OSR2-DD120,drawdown120,4.791456,NONHT-CHIP-COST-250,chip250,4.279336,0.5944266299969564,0.5944266299969564,1211,4751.623451692816
OSR2-DD120,drawdown120,4.791456,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,0.26797935695369823,0.26797935695369823,1211,4881.976052848885
OSR2-DD120,drawdown120,4.791456,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,0.09297368378954836,0.09297368378954836,1211,4855.0
OSR2-DD120,drawdown120,4.791456,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,-0.3885949044025431,0.3885949044025431,1211,4433.262592898431
NONHT-CHIP-COST-250,chip250,4.279336,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,0.4225670200794805,0.4225670200794805,1211,4747.119735755574
NONHT-CHIP-COST-250,chip250,4.279336,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,0.044983742536677904,0.044983742536677904,1211,4744.439306358381
NONHT-CHIP-COST-250,chip250,4.279336,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,0.07739596148162561,0.07739596148162561,1211,4433.262592898431
OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,-0.12782334651988722,0.12782334651988722,1211,4882.601981833196
OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,0.30636222032546157,0.30636222032546157,1211,4428.781998348472
NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,-0.16914519487274235,0.16914519487274235,1211,4426.990090834021
