candidate_name,candidate_formula,candidate_net_excess_pct,existing_id,existing_name,existing_handler,existing_formula,existing_platform_net_excess_pct,correlation,abs_correlation,days,common_stocks_mean
F-NET01,(1/(CONTRACT_LIABILITIES_LYR)),5.325309761559815,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,0.37558424724961126,0.37558424724961126,241,4843.39419087137
F-NET02,(1/(NET_PROFIT_PARENT_COMPANY_TTM)),5.1743916608720895,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,0.20915561359183055,0.20915561359183055,241,4878.44398340249
F-NET03,"(1/(REF(EV_NO_CASH_TTM,10)))",3.914117085305487,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,0.1963811569539645,0.1963811569539645,241,4884.423236514523
F-NET04,"RETURNS(CONTRACT_LIABILITIES_LYR,30)",1.6149023561705205,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,-0.014367891288448573,0.014367891288448573,123,4841.116182572614
F-NET05,BOOK_TO_MARKET_RATIO_LF,0.6755325039640006,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,0.07235977850011964,0.07235977850011964,241,4933.8589211618255
F-NET06,"(CURRENT_ASSETS_LYR/MA(CURRENT_ASSETS_LYR,50))",-0.6303441581340253,h03-t10-single-20260911-candidates.report:H03-T10-SINGLE,H03-T10-SINGLE,impact60,"RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))",16.443255999999998,-0.03187689033407811,0.03187689033407811,241,4843.091286307054
F-NET01,(1/(CONTRACT_LIABILITIES_LYR)),5.325309761559815,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,0.18798285107866516,0.18798285107866516,241,4797.448132780083
F-NET02,(1/(NET_PROFIT_PARENT_COMPANY_TTM)),5.1743916608720895,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,-0.21555355327421277,0.21555355327421277,241,4884.547717842323
F-NET03,"(1/(REF(EV_NO_CASH_TTM,10)))",3.914117085305487,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,-0.03610478537326804,0.03610478537326804,241,4835.165975103734
F-NET04,"RETURNS(CONTRACT_LIABILITIES_LYR,30)",1.6149023561705205,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,-0.0031013813176944964,0.0031013813176944964,129,4794.219917012448
F-NET05,BOOK_TO_MARKET_RATIO_LF,0.6755325039640006,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,-0.2216055435228859,0.2216055435228859,241,4884.547717842323
F-NET06,"(CURRENT_ASSETS_LYR/MA(CURRENT_ASSETS_LYR,50))",-0.6303441581340253,high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,-0.02765500218063677,0.02765500218063677,241,4795.107883817427
F-NET01,(1/(CONTRACT_LIABILITIES_LYR)),5.325309761559815,ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,0.025646321456916418,0.025646321456916418,241,4789.402489626556
F-NET02,(1/(NET_PROFIT_PARENT_COMPANY_TTM)),5.1743916608720895,ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,0.029750094072081103,0.029750094072081103,241,4852.921161825726
F-NET03,"(1/(REF(EV_NO_CASH_TTM,10)))",3.914117085305487,ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,0.03242199071526441,0.03242199071526441,241,4829.464730290457
F-NET04,"RETURNS(CONTRACT_LIABILITIES_LYR,30)",1.6149023561705205,ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,0.011175044032005104,0.011175044032005104,123,4787.157676348547
F-NET05,BOOK_TO_MARKET_RATIO_LF,0.6755325039640006,ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,-0.162464766922421,0.162464766922421,241,4878.618257261411
F-NET06,"(CURRENT_ASSETS_LYR/MA(CURRENT_ASSETS_LYR,50))",-0.6303441581340253,ht13-momentum-120d-d0.report:HT13-MOMENTUM-120D-D0,HT13-MOMENTUM-120D-D0,momentum120,"RETURNS(CLOSE,120)",2.291336000000001,0.011782126192251382,0.011782126192251382,241,4788.278008298756
F-NET01,(1/(CONTRACT_LIABILITIES_LYR)),5.325309761559815,huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",6.428368,-0.03082440280930262,0.03082440280930262,241,4344.50622406639
F-NET01,(1/(CONTRACT_LIABILITIES_LYR)),5.325309761559815,positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",4.962135999999999,-0.03082440280930262,0.03082440280930262,241,4344.50622406639
F-NET02,(1/(NET_PROFIT_PARENT_COMPANY_TTM)),5.1743916608720895,huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",6.428368,-0.026669793604687145,0.026669793604687145,241,4421.8589211618255
F-NET02,(1/(NET_PROFIT_PARENT_COMPANY_TTM)),5.1743916608720895,positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",4.962135999999999,-0.026669793604687145,0.026669793604687145,241,4421.8589211618255
F-NET03,"(1/(REF(EV_NO_CASH_TTM,10)))",3.914117085305487,huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",6.428368,-0.01026453132010545,0.01026453132010545,241,4377.406639004149
F-NET03,"(1/(REF(EV_NO_CASH_TTM,10)))",3.914117085305487,positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",4.962135999999999,-0.01026453132010545,0.01026453132010545,241,4377.406639004149
F-NET04,"RETURNS(CONTRACT_LIABILITIES_LYR,30)",1.6149023561705205,huatai-series13-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",6.428368,0.008526447813580333,0.008526447813580333,123,4342.49377593361
