portfolio,cycle,component_count,periods,first_signal_date,last_signal_date,mean_stock_count,rank_ic,ic_mean,ic_ir,gross_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,sharpe_after_cost,max_drawdown_pct,monthly_win_rate_pct,handlers
seven_without_turn_signal,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.10899769808723914,0.059497336544717054,0.34884951024244976,15.318624930942695,23.51280660845591,3.5551363591985337,11.763488571744162,0.9030852797719985,26.590323232453763,66.66666666666666,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,asset_growth,fscore_interact,residual_volatility"
seven_equal_momentum,10,7,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.111046464318163,0.062073737322829864,0.3767798113475328,16.080287185470223,28.63142869327861,4.329072018423727,11.751215167046498,0.8636779441716945,26.98804256703964,66.66666666666666,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,momentum120"
seven_without_reversal_chip_turn_paper,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4325.608333333334,0.1074365004364105,0.05822747144851099,0.3566651900364507,14.927229322712252,21.255569083897825,3.213842045485351,11.7133872772269,0.9325599964565936,26.689582362097507,71.66666666666667,"impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,residual_volatility"
five_core_quality,10,5,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.11516322050771612,0.06498499427295604,0.40934476767642125,15.930029805039098,28.266365075619387,4.273874399433651,11.656155405605446,0.8862074646134118,25.724944746726486,76.66666666666667,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,fscore_interact"
seven_without_asset_growth,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.11863307371543988,0.06436088216050155,0.3923999978408726,15.382541325063709,25.932958527629584,3.9210633293775934,11.461477995686115,0.9217937198839067,24.419897055517016,68.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,fscore_interact,residual_volatility"
seven_equal_residual,10,7,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.11421483206735654,0.06172157752708342,0.37281561614272174,14.794692950967317,25.118681030886382,3.797944571870021,10.996748379097296,0.8900099591116054,26.30769415750628,66.66666666666666,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,residual_volatility"
single_impact_abs_return60,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4934.866666666667,0.0506970464340206,0.03915500452171705,0.27360410924411455,11.768880734897706,9.151031021960259,1.3836358905203912,10.385244844377315,0.7628563482545873,34.49507605256774,70.0,impact_abs_return60
seven_without_book_to_market_lf_plus_impact,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.11372980500203902,0.060540613551451905,0.38231508922337143,14.141155722090964,27.926471737628738,4.222482526729465,9.9186731953615,0.8532216857417497,25.657100814566125,70.0,"reversal_chip_turn_paper,impact_abs_return60,turn_signal,asset_growth,fscore_interact,residual_volatility"
single_reversal_chip_turn_paper,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.1077722413386193,0.057226657506495755,0.37543157165550967,14.131201727550765,36.02140468158223,5.446436387855233,8.684765339695533,0.7388291706301888,28.481008113330496,68.33333333333333,reversal_chip_turn_paper
seven_without_impact_abs_return60,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.11315016115621306,0.05804571488738149,0.3580416972588821,12.407634287311623,27.41970381023845,4.145859216108054,8.26177507120357,0.8153530062174571,24.104875851121356,60.0,"reversal_chip_turn_paper,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact,residual_volatility"
single_turn_signal,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.07727166173675118,0.03901536721131582,0.34489831959063944,8.828617198473804,26.165266017437936,3.9561882218366167,4.872428976637187,0.6831519469754999,25.979379860056884,68.33333333333333,turn_signal
single_residual_volatility,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4422.416666666667,0.07016067613484925,0.029516964658523305,0.19065527447118893,4.364943906320651,7.005656591690011,1.0592552766635297,3.305688629657121,0.7902343825447761,15.823543755665426,55.00000000000001,residual_volatility
single_fscore_interact,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4778.133333333333,0.0692645365563946,0.03328750003800959,0.30283956465698453,7.49998962252368,42.32665292385733,6.399789922087229,1.1001997004364508,0.4721358755689051,29.760441624109124,60.0,fscore_interact
single_momentum120,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4879.266666666666,0.0679293800879737,0.03528474399317823,0.23310017141258202,5.773997073604736,35.14256687678739,5.313556111770254,0.460440961834483,0.3839324933151286,38.81218223791686,50.0,momentum120
single_asset_growth,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4984.566666666667,0.012656282026562358,0.00878858887055165,0.09082005829246749,-2.1389428510101403,3.4264050707556977,0.5180724466982615,-2.657015297708402,0.2815804111694851,39.20039496841032,46.666666666666664,asset_growth
