raw_formula,formula,signature,scale_signature,gp_fitness,distinct_fields,historical_exact_match,historical_scale_match,formula_length,full_net_excess,full_gross_excess,full_turnover,full_annual_cost,size_rank_corr,decision,used_fields,train_periods,train_net_excess,train_gross_excess,train_turnover,train_annual_cost,valid_periods,valid_net_excess,valid_gross_excess,valid_turnover,valid_annual_cost,test_periods,test_net_excess,test_gross_excess,test_turnover,test_annual_cost,duplicate_of
"Div(Div(book_to_market_ratio_lf,Constant(1.0)),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LF/1)/OPER_MAIN_PROFIT_TTM),"DIV(DIV(BOOK_TO_MARKET_RATIO_LF,1),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,True,50,,,,,,reject_scale_invariant_historical_formula,"book_to_market_ratio_lf,oper_main_profit_ttm",,,,,,,,,,,,,,,,
"Div(Add(book_to_market_ratio_lf,Constant(0.01)),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LF+0.01)/OPER_MAIN_PROFIT_TTM),"DIV(ADD(0.01,BOOK_TO_MARKET_RATIO_LF),OPER_MAIN_PROFIT_TTM)","DIV(ADD(0.01,BOOK_TO_MARKET_RATIO_LF),OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,False,53,0.0657600566542495,0.084846289721762,0.06311585009098053,0.01908623306751251,-0.20273438096046448,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm",146.0,0.0849258413192344,0.10516435234514002,0.06692629307508469,0.020238511025905608,48.0,0.07277324469387532,0.09066826812922955,0.05917666479945183,0.017895023435354235,47.0,-0.0015235272436699976,0.01578473856157445,0.05723632872104645,0.017308265805244447,
"Div(Div(book_to_market_ratio_lf,TsWMA(Constant(5.0),10)),oper_main_profit_ttm)","((BOOK_TO_MARKET_RATIO_LF/WMA(5,10))/OPER_MAIN_PROFIT_TTM)","DIV(DIV(BOOK_TO_MARKET_RATIO_LF,WMA(5,10)),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,True,58,,,,,,reject_scale_invariant_historical_formula,"book_to_market_ratio_lf,oper_main_profit_ttm",,,,,,,,,,,,,,,,
"Div(Div(book_to_market_ratio_lf,TsEMA(TsSkew(Constant(0.01),30),10)),oper_main_profit_ttm)","((BOOK_TO_MARKET_RATIO_LF/EMA(TS_SKEW(0.01,30),10))/OPER_MAIN_PROFIT_TTM)","DIV(DIV(BOOK_TO_MARKET_RATIO_LF,EMA(SKEW(0.01,30),10)),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LF,MUL(EMA(SKEW(0.01,30),10),OPER_MAIN_PROFIT_TTM))",0.0657600566542495,2,False,False,73,0.0657600566542495,0.084846289721762,0.06311585009098053,0.01908623306751251,-0.20273447036743164,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm",146.0,0.0849258413192344,0.10516435234514002,0.06692629307508469,0.020238511025905608,48.0,0.07277324469387532,0.09066826812922955,0.05917666479945183,0.017895023435354235,47.0,-0.0015235272436699976,0.01578473856157445,0.05723632872104645,0.017308265805244447,
"Div(Div(book_to_market_ratio_lf,oper_main_profit_ttm),Constant(2.0))",((BOOK_TO_MARKET_RATIO_LF/OPER_MAIN_PROFIT_TTM)/2),"DIV(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),2)","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,True,50,,,,,,reject_scale_invariant_historical_formula,"book_to_market_ratio_lf,oper_main_profit_ttm",,,,,,,,,,,,,,,,
"Div(ratio_bm_ttm,oper_main_profit_ttm)",(RATIO_BM_TTM/OPER_MAIN_PROFIT_TTM),"DIV(RATIO_BM_TTM,OPER_MAIN_PROFIT_TTM)","DIV(RATIO_BM_TTM,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,False,35,0.0657600566542495,0.084846289721762,0.06311585009098053,0.01908623306751251,-0.20273447036743164,reject_nonpositive_valid_or_test_net,"oper_main_profit_ttm,ratio_bm_ttm",146.0,0.0849258413192344,0.10516435234514002,0.06692629307508469,0.020238511025905608,48.0,0.07277324469387532,0.09066826812922955,0.05917666479945183,0.017895023435354235,47.0,-0.0015235272436699976,0.01578473856157445,0.05723632872104645,0.017308265805244447,
"Div(Mul(ratio_bm_ttm,Constant(10.0)),oper_main_profit_ttm)",((RATIO_BM_TTM*10)/OPER_MAIN_PROFIT_TTM),"DIV(MUL(10,RATIO_BM_TTM),OPER_MAIN_PROFIT_TTM)","DIV(RATIO_BM_TTM,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,False,40,0.0657600566542495,0.084846289721762,0.06311585009098053,0.01908623306751251,-0.20273448526859283,reject_nonpositive_valid_or_test_net,"oper_main_profit_ttm,ratio_bm_ttm",146.0,0.0849258413192344,0.10516435234514002,0.06692629307508469,0.020238511025905608,48.0,0.07277324469387532,0.09066826812922955,0.05917666479945183,0.017895023435354235,47.0,-0.0015235272436699976,0.01578473856157445,0.05723632872104645,0.017308265805244447,
"Div(Div(ratio_sp_ttm,current_liabilities),current_liabilities)",((RATIO_SP_TTM/CURRENT_LIABILITIES)/CURRENT_LIABILITIES),"DIV(DIV(RATIO_SP_TTM,CURRENT_LIABILITIES),CURRENT_LIABILITIES)","DIV(RATIO_SP_TTM,MUL(CURRENT_LIABILITIES,CURRENT_LIABILITIES))",0.06564541733112819,2,False,False,56,0.06564541733112819,0.07387833417203911,0.027225254103541374,0.008232916840910912,-0.6969544887542725,reject_size_exposure,"current_liabilities,ratio_sp_ttm",146.0,0.058900990017350406,0.06746656600743124,0.028325317427515984,0.008565575990080834,48.0,0.12310649304091932,0.13097475171089173,0.026019373908638954,0.007868258669972419,47.0,0.02778038119984434,0.03548444281233118,0.025476394221186638,0.00770406161248684,
"Div(Add(book_to_market_ratio_lf,oper_roe_lyr),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LF+OPER_ROE_LYR)/OPER_MAIN_PROFIT_TTM),"DIV(ADD(BOOK_TO_MARKET_RATIO_LF,OPER_ROE_LYR),OPER_MAIN_PROFIT_TTM)","DIV(ADD(BOOK_TO_MARKET_RATIO_LF,OPER_ROE_LYR),OPER_MAIN_PROFIT_TTM)",0.0651134999142643,3,False,False,61,0.0651134999142643,0.08423553403482398,0.06323423981666565,0.01912203412055969,-0.20539268851280212,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm,oper_roe_lyr",146.0,0.08437605366135298,0.10464130395079313,0.06701471656560898,0.020265250289440154,48.0,0.07166303848028183,0.0895833671092987,0.05926034599542618,0.017920328629016876,47.0,-0.001999144518629035,0.015385758971914331,0.05748976022005081,0.017384903490543367,
"Div(Greater(book_to_market_ratio_lf,ratio_pcf_ocf_ttm),oper_main_profit_ttm)","(MAX(BOOK_TO_MARKET_RATIO_LF,RATIO_PCF_OCF_TTM)/OPER_MAIN_PROFIT_TTM)","DIV(MAX(BOOK_TO_MARKET_RATIO_LF,RATIO_PCF_OCF_TTM),OPER_MAIN_PROFIT_TTM)","DIV(MAX(BOOK_TO_MARKET_RATIO_LF,RATIO_PCF_OCF_TTM),OPER_MAIN_PROFIT_TTM)",0.06494041286197441,3,False,False,69,0.06494041286197441,0.08390534141746299,0.06271471083164215,0.018964928555488585,-0.18626795709133148,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm,ratio_pcf_ocf_ttm",146.0,0.08618806694925649,0.10627298942983968,0.06641839444637299,0.02008492248058319,48.0,0.06937946101427078,0.0871977724134922,0.058922987431287766,0.01781831139922142,47.0,-0.006188999845626505,0.01106039361750826,0.05704164505004883,0.017249393463134765,
"Div(ratio_sp_ttm,TsWMA(TsWMA(oper_main_profit_ttm,30),40))","(RATIO_SP_TTM/WMA(WMA(OPER_MAIN_PROFIT_TTM,30),40))","DIV(RATIO_SP_TTM,WMA(WMA(OPER_MAIN_PROFIT_TTM,30),40))","DIV(RATIO_SP_TTM,WMA(WMA(OPER_MAIN_PROFIT_TTM,30),40))",0.06459903715809352,2,False,False,51,0.06459903715809352,0.08653546438177592,0.07254109531641006,0.021936427223682404,-0.167816162109375,reject_nonpositive_valid_or_test_net,"oper_main_profit_ttm,ratio_sp_ttm",146.0,0.08650500113882431,0.10863102298893342,0.0731680616736412,0.0221260218501091,48.0,0.07958760332465172,0.10043315961956978,0.06893371790647507,0.02084555629491806,47.0,-0.017874950555791243,0.003704856272707594,0.07136179506778717,0.02157980682849884,
"Div(ratio_sp_ttm,TsMax(TsMax(TsMax(TsMax(TsMax(TsMax(TsStd(TsMax(TsMinMaxDiff(inventory,40),10),40),40),40),40),40),40),40))","(RATIO_SP_TTM/TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(TS_MAX(STDDEV(TS_MAX((TS_MAX(INVENTORY,40)-TS_MIN(INVENTORY,40)),10),40),40),40),40),40),40),40))","DIV(RATIO_SP_TTM,MAX_TS(STD(MAX_TS(SUB(MAX_TS(INVENTORY,40),MIN_TS(INVENTORY,40)),10),40),40))","DIV(RATIO_SP_TTM,MAX_TS(STD(MAX_TS(SUB(MAX_TS(INVENTORY,40),MIN_TS(INVENTORY,40)),10),40),40))",0.06447431856727699,2,False,False,146,0.06447431856727699,0.07619209447836975,0.03874925896525383,0.011717775911092758,-0.5686461925506592,reject_nonpositive_valid_or_test_net,"inventory,ratio_sp_ttm",146.0,0.09509282499559937,0.10698447145827829,0.03932422772049904,0.01189164646267891,48.0,0.0629666366904974,0.07433586828410625,0.03759666532278061,0.011369231593608857,47.0,-0.028958520453153773,-0.017565080903946085,0.03767671808600426,0.011393439549207688,
