factor_id,factor_name,handler,formula,platform_net_excess_pct,local_net_excess_pct,local_net_positive,high_threshold,high_neighbor_count,high_neighbors,nearest_factor,nearest_correlation,nearest_abs_correlation,neighbor_rows_written
positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,turn_bias,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",4.962135999999999,,,0.8,3,HT13-TURN-BIAS-1M (+1.000000); HT13-TURN-BIAS-1M-POS (-1.000000); OSR2-RET40-TURN-BIAS-EQ (-0.821641),HT13-TURN-BIAS-1M,1.0,1.0,3
huatai-turn-bias-positive.report:HT13-TURN-BIAS-1M-POS,HT13-TURN-BIAS-1M-POS,turn_signal,"1 - MA(TURNOVER,21) / MA(TURNOVER,504)",6.395344000000001,,,0.8,3,HT13-TURN-BIAS-1M (-1.000000); HT13-TURN-BIAS-1M (-1.000000); OSR2-RET40-TURN-BIAS-EQ (+0.821641),HT13-TURN-BIAS-1M,-1.0,1.0,3
huatai-series13-candidates.report:HT13-VALUE-BP,HT13-VALUE-BP,value_bm,ratio_bm_ttm,2.098992,,,0.8,1,OSR3-RET40-BP-VAL2 (+0.907927),OSR3-RET40-BP-VAL2,0.9079273039358892,0.9079273039358892,1
huatai-series13-candidates.report:HT13-VALUE-SP,HT13-VALUE-SP,value_sp,ratio_sp_ttm,0.11094400000000004,,,0.8,0,,OSR4-RET40-BP-CFP-SP,0.7030060440370051,0.7030060440370051,1
high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,RANK(-ratio_ev_ebitda_ttm),3.3196399999999997,,,0.8,0,,HT13-VALUE-SP,-0.3140973651641143,0.3140973651641143,1
nonht-report-directions-20260909-formula.report:NONHT-CHIP-COST-250,NONHT-CHIP-COST-250,chip250,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",4.279336,,,0.8,3,COMBO-DIRECT-OSR2-CHIP-EQ (+0.887416); HT13-MOMENTUM-120D-D0 (-0.837677); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.831488),COMBO-DIRECT-OSR2-CHIP-EQ,0.8874163444894411,0.8874163444894411,3
nonhuatai-factor-6-20260909.report:NONHT-FSCORELIKE-REV40,NONHT-FSCORELIKE-REV40,fscore_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)) / 2",1.8243760000000009,,,0.8,1,NONHT-FSCORELIKE-REV40-INTERACT (+0.946359),NONHT-FSCORELIKE-REV40-INTERACT,0.9463589570700386,0.9463589570700386,1
literature-rankic-optimization-20260909-formula.report:NONHT-FSCORELIKE-REV40-INTERACT,NONHT-FSCORELIKE-REV40-INTERACT,fscore_interact,"RANK(1 - RETURNS(CLOSE,40)) * RANK((IF(oper_roa_net_ttm > 0,1,0) + IF(cfd_ocf_to_debt_ttm > 0,1,0) + IF(oper_roa_net_ttm > oper_roa_net_lyr,1,0) + IF(cfd_surplus_cash_multi_ttm > 1,1,0) + IF(fin_debt_to_asset_ttm < fin_debt_to_asset_lyr,1,0) + IF(fin_current_ratio_ttm > fin_current_ratio_lyr,1,0) + IF(oper_gross_margin_ttm > oper_gross_margin_lyr,1,0) + IF(oper_total_asset_turnover_ttm > oper_total_asset_turnover_lyr,1,0)) / 8)",1.8427599999999984,,,0.8,1,NONHT-FSCORELIKE-REV40 (+0.946359),NONHT-FSCORELIKE-REV40,0.9463589570700386,0.9463589570700386,1
nonhuatai-factor-6-20260909.report:NONHT-RESVOL-LOW,NONHT-RESVOL-LOW,residual_volatility,RANK(-residual_volatility),0.37087199999999987,,,0.8,0,,HT13-VALUE-BP,0.528753005969694,0.528753005969694,1
oversold-rebound-recovery-candidates.report:OSR2-DD120,OSR2-DD120,drawdown120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",4.791456,,,0.8,1,OSR2-DD120 (+1.000000),OSR2-DD120,1.0,1.0,1
positive-cycle10-candidates.report:OSR2-DD120,OSR2-DD120,drawdown120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",4.246232,,,0.8,1,OSR2-DD120 (+1.000000),OSR2-DD120,1.0,1.0,1
oversold-rebound-recovery-candidates.report:OSR2-DD60,OSR2-DD60,drawdown60,"RANK(1 - CLOSE / TS_MAX(CLOSE,60))",1.9485279999999996,,,0.8,0,,OSR2-DD120,0.7898705245634533,0.7898705245634533,1
oversold-rebound-recovery-candidates.report:OSR2-RET40,OSR2-RET40,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1.0300160000000016,,,0.8,9,OSR2-RET40 (+1.000000); OSR3-RET40-BP-INTERACT (+0.942864); OSR3-RET40-BP-REV2 (+0.907752); OSR4-RET40-BP-CFP-REV3 (+0.903276); COMBO-DIRECT-OSR2-CHIP-EQ (+0.885864); OSR2-RET40-TURN-BIAS-EQ (+0.818802); OSR3-RET40-BP-TSRANK756 (+0.812266); OSR4-RET40-BP-CFP-REV2 (+0.809362); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.809169),OSR2-RET40,1.0,1.0,9
positive-cycle10-candidates.report:OSR2-RET40,OSR2-RET40,reversal40,"RANK(1 - RETURNS(CLOSE,40))",5.030975999999999,,,0.8,9,OSR2-RET40 (+1.000000); OSR3-RET40-BP-INTERACT (+0.942864); OSR3-RET40-BP-REV2 (+0.907752); OSR4-RET40-BP-CFP-REV3 (+0.903276); COMBO-DIRECT-OSR2-CHIP-EQ (+0.885864); OSR2-RET40-TURN-BIAS-EQ (+0.818802); OSR3-RET40-BP-TSRANK756 (+0.812266); OSR4-RET40-BP-CFP-REV2 (+0.809362); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.809169),OSR2-RET40,1.0,1.0,9
