candidate_a,candidate_b,correlation,abs_correlation,days,correlation_std,common_stocks_mean,common_stocks_min,cycle
C10-019,C10-020,0.9185203846067913,0.9185203846067913,120,0.018119207289495613,4418.308333333333,3620,10
C10-019,C10-021,0.9300178605135969,0.9300178605135969,120,0.013331818591725213,4418.308333333333,3620,10
C10-019,C10-022,0.90795826343827,0.90795826343827,120,0.021780002748057716,4418.308333333333,3620,10
C10-019,C10-023,0.8376359948497653,0.8376359948497653,120,0.033803262547946966,4393.208333333333,3590,10
C10-019,C10-024,0.7122219866587798,0.7122219866587798,120,0.06028365130376996,4418.308333333333,3620,10
C10-019,C10-025,0.6455422820679911,0.6455422820679911,120,0.06553283704161443,4393.208333333333,3590,10
C10-019,C10-026,0.8084392513361196,0.8084392513361196,120,0.044012816407219026,4393.208333333333,3590,10
C10-019,C10-027,0.6452433865983487,0.6452433865983487,120,0.06962300874562727,4418.308333333333,3620,10
C10-019,C10-028,0.3776365058635091,0.3776365058635091,120,0.1526678240011181,4418.308333333333,3620,10
C10-019,C10-029,0.5687142921302233,0.5687142921302233,120,0.09622125248424361,4418.308333333333,3620,10
C10-019,C10-030,0.5175993770994911,0.5175993770994911,120,0.08972424363181015,4418.308333333333,3620,10
C10-019,C10-031,0.5267419169694986,0.5267419169694986,120,0.09852802731699409,4418.308333333333,3620,10
C10-019,C10-032,0.5988627910613108,0.5988627910613108,120,0.09640734800432958,4418.308333333333,3620,10
C10-019,C10-033,0.643445272468594,0.643445272468594,120,0.06700945653452807,4418.308333333333,3620,10
C10-019,C10-034,0.6017888732877398,0.6017888732877398,120,0.08225438305738178,4418.308333333333,3620,10
C10-019,C10-035,0.44166047280536724,0.44166047280536724,120,0.09282465729809922,4393.208333333333,3590,10
C10-020,C10-021,0.9132193237700398,0.9132193237700398,120,0.021135181107012745,4418.308333333333,3620,10
C10-020,C10-022,0.9454655877114584,0.9454655877114584,120,0.014519961018375488,4422.416666666667,3623,10
C10-020,C10-023,0.8736060393406943,0.8736060393406943,120,0.026397772329112227,4393.208333333333,3590,10
C10-020,C10-024,0.7703459523243421,0.7703459523243421,120,0.0641596296831302,4422.416666666667,3623,10
C10-020,C10-025,0.6467040903209091,0.6467040903209091,120,0.0737742644924487,4393.208333333333,3590,10
C10-020,C10-026,0.8012319199433188,0.8012319199433188,120,0.052746243804264036,4393.208333333333,3590,10
C10-020,C10-027,0.7482788696458482,0.7482788696458482,120,0.06302202336795766,4422.416666666667,3623,10
C10-020,C10-028,0.6217723388359067,0.6217723388359067,120,0.11206835913238322,4422.416666666667,3623,10
C10-020,C10-029,0.6825063693587797,0.6825063693587797,120,0.09249107555977532,4422.416666666667,3623,10
C10-020,C10-030,0.39041986864633066,0.39041986864633066,120,0.11528541510460957,4418.308333333333,3620,10
C10-020,C10-031,0.4235411068490416,0.4235411068490416,120,0.12524388618653504,4418.308333333333,3620,10
C10-020,C10-032,0.5485351904694636,0.5485351904694636,120,0.12343858098405654,4422.416666666667,3623,10
C10-020,C10-033,0.5404333490979198,0.5404333490979198,120,0.09397977212378393,4422.416666666667,3623,10
C10-020,C10-034,0.5134771542738991,0.5134771542738991,120,0.10731414783991816,4422.416666666667,3623,10
C10-020,C10-035,0.3332413250627722,0.3332413250627722,120,0.1131152036348835,4393.208333333333,3590,10
C10-021,C10-022,0.9177308696126997,0.9177308696126997,120,0.022287726265100765,4418.308333333333,3620,10
C10-021,C10-023,0.8954606307351612,0.8954606307351612,120,0.024598525553624864,4393.208333333333,3590,10
C10-021,C10-024,0.7141843183281407,0.7141843183281407,120,0.06576965015255974,4418.308333333333,3620,10
C10-021,C10-025,0.723913148564066,0.723913148564066,120,0.05785593098512524,4393.208333333333,3590,10
C10-021,C10-026,0.8687359545627233,0.8687359545627233,120,0.033556775777171005,4393.208333333333,3590,10
C10-021,C10-027,0.6797897192711692,0.6797897192711692,120,0.06203520629738675,4418.308333333333,3620,10
C10-021,C10-028,0.3556517668237174,0.3556517668237174,120,0.15883540120329026,4418.308333333333,3620,10
C10-021,C10-029,0.5807891093645025,0.5807891093645025,120,0.10058171150892105,4418.308333333333,3620,10
C10-021,C10-030,0.6615844980556408,0.6615844980556408,120,0.06803786144698341,4418.308333333333,3620,10
C10-021,C10-031,0.6688108535782114,0.6688108535782114,120,0.0778105639744147,4418.308333333333,3620,10
C10-021,C10-032,0.5774887937341915,0.5774887937341915,120,0.1025686964557768,4418.308333333333,3620,10
C10-021,C10-033,0.6300546707155404,0.6300546707155404,120,0.0694998199061222,4418.308333333333,3620,10
C10-021,C10-034,0.5841192003992169,0.5841192003992169,120,0.08756976716134057,4418.308333333333,3620,10
C10-021,C10-035,0.5533766788344595,0.5533766788344595,120,0.07646157871328506,4393.208333333333,3590,10
C10-022,C10-023,0.9286902409409373,0.9286902409409373,120,0.012030553746404533,4393.208333333333,3590,10
C10-022,C10-024,0.8730606546726821,0.8730606546726821,120,0.03248089151938072,4422.416666666667,3623,10
C10-022,C10-025,0.7689318788400121,0.7689318788400121,120,0.05072592466375881,4393.208333333333,3590,10
C10-022,C10-026,0.8615384815515087,0.8615384815515087,120,0.03570838631129997,4393.208333333333,3590,10
C10-022,C10-027,0.7735665310022776,0.7735665310022776,120,0.041439386562710914,4422.416666666667,3623,10
C10-022,C10-028,0.4727400207803289,0.4727400207803289,120,0.137438378587215,4422.416666666667,3623,10
C10-022,C10-029,0.7085585875416888,0.7085585875416888,120,0.07202688953994094,4422.416666666667,3623,10
C10-022,C10-030,0.3759784639633718,0.3759784639633718,120,0.12456937836328193,4418.308333333333,3620,10
C10-022,C10-031,0.33844250341411297,0.33844250341411297,120,0.14310160869763044,4418.308333333333,3620,10
C10-022,C10-032,0.3657146329795387,0.3657146329795387,120,0.15399516489758697,4422.416666666667,3623,10
