date,stock_count,pearson,spearman
2022-07-08,3782,0.49180807614357697,0.4807820006684966
2022-07-11,3782,0.48398406902311764,0.47239289526903167
2022-07-12,3780,0.5005456707434554,0.48940817374413026
2022-07-13,3781,0.46709703269718855,0.4549837077424638
2022-07-14,3785,0.46541484707887704,0.4529384633578293
2022-07-15,3787,0.46390080240051723,0.4525961546699174
2022-07-18,3789,0.439673866054083,0.4276585649650916
2022-07-19,3789,0.43385048118914293,0.4210688462627034
2022-07-20,3791,0.4345149352141876,0.4205461614295329
2022-07-21,3791,0.42116520823112336,0.4086392769139899
2022-07-22,3793,0.40047924986745564,0.38791763077700087
2022-07-25,3790,0.395090660964077,0.38408270680967255
2022-07-26,3795,0.3984414185153158,0.3871034756118348
2022-07-27,3796,0.3739875079708517,0.361342367827504
2022-07-28,3798,0.37531411013760374,0.36327228141602563
2022-07-29,3798,0.3642857357493443,0.3493446180054496
2022-08-01,3800,0.35388224571189486,0.33802555504623694
2022-08-02,3805,0.3555579182029957,0.3410899690420505
2022-08-03,3808,0.3444827967551997,0.3296726071354767
2022-08-04,3811,0.3250057784772069,0.31062785437252444
2022-08-05,3812,0.33035984280351777,0.31745120374539354
2022-08-08,3813,0.31197990471834197,0.297562447678499
2022-08-09,3816,0.30100196384896916,0.28610098246497984
2022-08-10,3817,0.2801536800869703,0.263048203709495
2022-08-11,3818,0.2985370132620266,0.28246381707897666
2022-08-12,3822,0.29010804165979176,0.2723531396526383
2022-08-15,3820,0.2971264418660459,0.2796587096025507
2022-08-16,3832,0.29765630733115006,0.27963374332456775
2022-08-17,3832,0.3069001106161464,0.2897062625143179
2022-08-18,3834,0.29065058743323374,0.27278857992363104
2022-08-19,3836,0.2899973855651792,0.27173447319032257
2022-08-22,3836,0.29344097932397983,0.27664854077488354
2022-08-23,3837,0.289230422060661,0.27188936706383543
2022-08-24,3839,0.2923447939459017,0.27563864536148225
2022-08-25,3844,0.3029755658765093,0.28658594863683556
2022-08-26,3846,0.30505799791913835,0.2890349855338101
2022-08-29,3849,0.28440564919469624,0.2670760812148186
2022-08-30,3851,0.25784822205620567,0.24011710290953212
2022-08-31,3853,0.2740105955504847,0.2572153765235102
2022-09-01,3853,0.2583714972069634,0.24145881923181206
2022-09-02,3858,0.240888136524452,0.2217584489276665
2022-09-05,3860,0.24201412938897016,0.22241500774235637
2022-09-06,3862,0.2589396666659743,0.23918034201884772
2022-09-07,3863,0.28287314480705783,0.26346168969962097
2022-09-08,3865,0.28448329583066734,0.26395736984568535
2022-09-09,3870,0.2950363666816125,0.2741994456329561
2022-09-13,3872,0.2921806413893969,0.27264180784059994
2022-09-14,3874,0.2826765405082598,0.26294727957548675
2022-09-15,3873,0.27294038222430006,0.25390676036228577
2022-09-16,3876,0.28360380853290473,0.26515113432238885
2022-09-19,3893,0.31006068652996444,0.29282456451107575
2022-09-20,3896,0.31250311297645145,0.29399473861826225
2022-09-21,3899,0.3004604405688919,0.28177127965195875
2022-09-22,3897,0.31634090784071095,0.2990559515181844
2022-09-23,3903,0.32475957499608626,0.3080289875816839
2022-09-26,3904,0.34487487467623557,0.33057218024489166
2022-09-27,3908,0.33378337099460403,0.3192900254060868
2022-09-28,3912,0.30577083565989893,0.2904040644639456
2022-09-29,3914,0.3207422807348533,0.3061113141485904
2022-09-30,3913,0.3230885368727921,0.30821264587437397
2022-10-10,3917,0.31437864564897755,0.29836722689437967
2022-10-11,3918,0.33920469693056443,0.3237018895688253
2022-10-12,3919,0.35597541085303225,0.3407310454668088
2022-10-13,3922,0.3443186207730806,0.3296044759955617
2022-10-14,3927,0.3434987358411832,0.3296453436875463
2022-10-17,3925,0.3185510374673914,0.3057080107904411
2022-10-18,3926,0.31181801902038175,0.29922543211504776
2022-10-19,3932,0.3126176925323126,0.3009833245446326
2022-10-20,3936,0.31071490440135957,0.29908881381589586
2022-10-21,3939,0.31374703562322737,0.3024847458885267
2022-10-24,3944,0.32733956380751417,0.31719285604107983
2022-10-25,3947,0.3392550253881784,0.3285077031730453
2022-10-26,3948,0.3376390972342301,0.3290468329549015
2022-10-27,3952,0.32972530376745607,0.3209090933544821
2022-10-28,3958,0.32468382340387836,0.3159525459044382
2022-10-31,3963,0.3101823453809927,0.3017583423564123
2022-11-01,3965,0.334468658917324,0.3284478826800935
2022-11-02,3968,0.353291418019344,0.3469617914237858
2022-11-03,3969,0.3570224329291931,0.34965535460096475
2022-11-04,3972,0.3967795505048924,0.3910138726080526
2022-11-07,3974,0.4030479014142475,0.3981590824810547
2022-11-08,3971,0.39396568581248725,0.38937175157912624
2022-11-09,3972,0.36859475774021866,0.3630647971539866
2022-11-10,3978,0.35048643725267375,0.3446644909077855
2022-11-11,3981,0.37635098125236605,0.37108008901158007
2022-11-14,3981,0.3546858883828725,0.34860324786947494
2022-11-15,3983,0.3862058457274613,0.3803768216164667
2022-11-16,3984,0.3793161421271886,0.3716498702955688
2022-11-17,3983,0.3672424591927016,0.3584946236675945
2022-11-18,3985,0.3675326402154748,0.3593312028828993
2022-11-21,3987,0.36119420929866697,0.3533912425513057
2022-11-22,3990,0.36715770457075697,0.35916944941618784
2022-11-23,3995,0.3981545425066117,0.3907203487713804
2022-11-24,3998,0.39051112029838697,0.3824131073190684
2022-11-25,3999,0.3883516012603323,0.3790151810714059
2022-11-28,4000,0.38085652708657824,0.3694619128413695
2022-11-29,4002,0.3944723668814156,0.38333962214111
2022-11-30,4003,0.4109490715582313,0.4001794383221208
2022-12-01,4004,0.4067522451332969,0.3968893695317978
