date,close
2022-03-21,10344.6156
2022-03-22,10153.5533
2022-03-23,10153.5446
2022-03-24,9904.2071
2022-03-25,9791.8961
2022-03-28,9651.4965
2022-03-29,9454.9951
2022-03-30,9642.4987
2022-03-31,9361.4979
2022-04-01,9364.8782
2022-04-06,9049.0991
2022-04-07,8852.4005
2022-04-08,8863.8033
2022-04-11,8385.8411
2022-04-12,8502.5869
2022-04-13,8291.2545
2022-04-14,8499.0451
2022-04-15,8464.7294
2022-04-18,8791.4989
2022-04-19,8592.4992
2022-04-20,8458.5487
2022-04-21,8251.5322
2022-04-22,8047.4514
2022-04-25,7422.8815
2022-04-26,7215.5627
2022-04-27,7752.1314
2022-04-28,7677.1621
2022-04-29,7949.1082
2022-05-05,7984.7468
2022-05-06,7739.484
2022-05-09,7667.41
2022-05-10,7970.9123
2022-05-11,8273.124
2022-05-12,8323.7099
2022-05-13,8303.1337
2022-05-16,8181.5128
2022-05-17,8515.6859
2022-05-18,8572.2693
2022-05-19,8732.9827
2022-05-20,8754.4737
2022-05-23,8832.1639
2022-05-24,8462.017
2022-05-25,8448.8275
2022-05-26,8383.3188
2022-05-27,8333.7011
2022-05-30,8439.1385
2022-05-31,8599.777
2022-06-01,8572.5804
2022-06-02,8852.4406
2022-06-06,9092.1892
2022-06-07,8923.3388
2022-06-08,8897.941
2022-06-09,8613.9142
2022-06-10,8778.7855
2022-06-13,8661.7661
2022-06-14,8474.0587
2022-06-15,8551.7202
2022-06-16,8695.5132
2022-06-17,8667.4154
2022-06-20,8791.3586
2022-06-21,8694.5674
2022-06-22,8433.3599
2022-06-23,8640.5683
2022-06-24,8762.7832
2022-06-27,8903.296
2022-06-28,9298.6378
2022-06-29,9125.967
2022-06-30,9417.311
2022-07-01,9418.9444
2022-07-04,9155.7915
2022-07-05,9192.5997
2022-07-06,9313.3185
2022-07-07,9271.9359
2022-07-08,9324.9626
2022-07-11,9029.4372
2022-07-12,8784.9071
2022-07-13,8666.9474
2022-07-14,8744.9223
2022-07-15,8706.8738
2022-07-18,8644.57
2022-07-19,8570.0297
2022-07-20,8665.6383
2022-07-21,8835.2728
2022-07-22,8757.6155
2022-07-25,8607.6632
2022-07-26,8657.8892
2022-07-27,8582.5484
2022-07-28,8722.7091
2022-07-29,8460.7752
2022-08-01,8573.705
2022-08-02,8496.2686
2022-08-03,8777.0921
2022-08-04,8927.1094
2022-08-05,9401.7883
2022-08-08,9325.7288
2022-08-09,9415.2082
2022-08-10,9299.2056
2022-08-11,9461.2718
2022-08-12,9236.3472
2022-08-15,9279.0848
2022-08-16,9187.2894
2022-08-17,9219.2274
2022-08-18,9341.1855
2022-08-19,9108.0516
2022-08-22,9134.6252
2022-08-23,9094.9061
2022-08-24,8717.8335
2022-08-25,8663.0679
2022-08-26,8523.654
2022-08-29,8531.3485
2022-08-30,8566.4416
2022-08-31,8447.477
2022-09-01,8351.2332
2022-09-02,8399.8657
2022-09-05,8346.2379
2022-09-06,8452.0149
2022-09-07,8628.9819
2022-09-08,8561.8256
2022-09-09,8525.415
2022-09-13,8514.8471
2022-09-14,8507.693
2022-09-15,8225.2048
2022-09-16,8118.639
2022-09-19,7979.1161
2022-09-20,7954.1724
2022-09-21,7793.8084
2022-09-22,7739.5762
2022-09-23,7550.0152
2022-09-26,7562.002
2022-09-27,7705.5274
2022-09-28,7501.1547
2022-09-29,7509.1129
2022-09-30,7370.3747
2022-10-10,6928.4185
2022-10-11,6826.4058
2022-10-12,7060.7115
2022-10-13,7011.3216
2022-10-14,7225.8379
2022-10-17,7346.5659
2022-10-18,7293.7571
2022-10-19,7224.1349
2022-10-20,7472.6441
2022-10-21,7357.0016
2022-10-24,7333.592
2022-10-25,7308.354
2022-10-26,7542.4313
2022-10-27,7561.6218
2022-10-28,7421.6947
2022-10-31,7517.704
2022-11-01,7631.1858
2022-11-02,7655.1717
2022-11-03,7866.3773
2022-11-04,8015.7624
2022-11-07,7951.2233
2022-11-08,7847.5328
2022-11-09,7762.471
2022-11-10,7574.3597
2022-11-11,7675.3673
2022-11-14,7712.8953
2022-11-15,8183.7454
2022-11-16,8068.2042
2022-11-17,8231.6277
2022-11-18,8027.4503
