rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_periods,formula
27,0.0024639018811285496,0.0024639018811285496,-0.01542642805725336,-0.0005169218638911843,-0.041775550693273544,0.0002301031054230407,-0.03098754957318306,-0.12471936238955145,0.20495489239692688,0.06197835946083069,-0.18669772185038214,146,-0.027421870401927402,0.19981157779693604,0.06042302112579345,-0.08784489152772085,49,-0.07414171434938908,0.2031327486038208,0.061427343177795406,-0.13556905752718448,48,"TsDelta(Abs($ratio_pcf_ocf_ttm),50)"
28,0.007589958608150482,0.007603832054883242,-0.004338500555604696,0.013173043727874756,-0.0047037010081112385,-0.0007415211293846369,-0.0034900931641459465,0.030030890278620263,0.47441816329956055,0.1434640525817871,-0.11343316230316683,146,0.01847014342035566,0.5052892565727234,0.15279947118759157,-0.1343293277672359,49,0.0012031903490424157,0.4330185651779175,0.13094481410980224,-0.12974162376075982,48,"TsDelta(Sign(Mul(TsDelta($ratio_bm_ttm,20),$oper_roe_lyr)),40)"
29,0.019530031830072403,0.019530031830072403,0.02395365759730339,0.02238488383591175,0.026645909994840622,0.014786732383072376,0.019331099465489388,0.12501605585829853,0.048927851021289825,0.014795782148838043,0.11022027370946048,146,0.0722683208329337,0.054888397455215454,0.016598251390457154,0.05567006944247655,49,0.005735606700181962,0.05941963940858841,0.017968498957157134,-0.012232892256975172,48,"Rank(Pow(-10.0,Sub(Add($ratio_ep_ttm,Pow(Log($ratio_sp_ttm),10.0)),$current_assets)))"
30,0.007027335464954376,0.007027335464954376,0.04809482768177986,0.00014285132056102157,0.0193601343780756,-0.0015804471913725138,0.016521980985999107,0.024408518696484503,0.0395001657307148,0.011944850116968156,0.012463668579516347,146,0.08057970489774431,0.040185146033763885,0.012151988160610198,0.06842771673713412,49,-0.01860904796048999,0.040579743683338165,0.012271314489841461,-0.03088036245033145,48,"Add($ratio_pcf_ocf_ttm,Inv($low))"
31,0.031009329482913017,0.031009329482913017,0.07970967143774033,0.017225010320544243,0.0697641521692276,0.009328342974185944,0.06617409735918045,0.0047160516862999905,0.32731616497039795,0.09898040828704834,-0.09426435660074835,146,-0.1469732369695391,0.3394557237625122,0.1026514108657837,-0.2496246478353228,49,-0.03754922077059746,0.33083459734916687,0.10004438223838806,-0.13759360300898552,48,"Mul(Inv($ratio_bm_ttm),Sub(1.0,$turnover))"
32,0.013746353797614574,0.013746353797614574,0.013259770348668098,0.00979477446526289,-0.01442908588796854,0.005689194425940514,0.007966185919940472,0.011985782401202476,0.0033012740314006805,0.0009983052670955658,0.01098747713410691,146,-0.1411192468234471,0.002601566491648555,0.0007867137070745229,-0.14190596053052162,49,-0.0304960772395134,0.0025039860047399998,0.0007572053678333759,-0.03125328260734678,48,"Less(0.5,Pow($open,$amount))"
33,0.0017639683792367578,0.0017649803776293993,0.0030813857447355986,0.006873250938951969,-0.007475603837519884,-0.0009537612786516547,-0.006373265292495489,0.006040064551650661,0.05881679058074951,0.01778619747161865,-0.01174613291996799,146,-0.0537715698991503,0.06361856311559677,0.019238253486156463,-0.07300982338530676,49,-0.04793880321085453,0.05840039625763893,0.017660279828310012,-0.06559908303916454,48,"TsRank(Sign($ratio_ep_ttm),50)"
34,0.002172015141695738,0.002172015141695738,-0.000791661033872515,-0.0024257211480289698,0.00047741690650582314,0.005377183202654123,0.010847697034478188,-0.10355447726706936,0.01793646067380905,0.005423985707759857,-0.10897846297482922,146,-0.1381333657673427,0.014098282903432846,0.004263320749998092,-0.14239668651734078,49,-0.005064022075384856,0.017727116122841835,0.005360679915547371,-0.010424701990932227,48,"Div($ratio_ep_ttm,$book_to_market_ratio_lf)"
35,0.007952040992677212,0.007952040992677212,0.0394454263150692,0.01684567518532276,0.02643824741244316,-0.006081820465624332,-0.008393635973334312,0.05925753230917944,0.038564298301935196,0.011661843806505203,0.04759568850267424,146,0.09294218250683375,0.03733647242188454,0.011290549260377885,0.08165163324645587,49,-0.011678251996636392,0.03813266009092331,0.01153131641149521,-0.0232095684081316,48,Inv(Log($close))
36,0.010366616770625114,0.010366616770625114,0.0336860716342926,0.005202935077250004,0.019024057313799858,-0.005268831271678209,-0.0023108995519578457,-0.11838596144767657,0.14451736211776733,0.04370205030441284,-0.16208801175208942,146,-0.09084130014692034,0.1781269758939743,0.053865597510337836,-0.14470689765725817,49,-0.18266116082668304,0.17207764089107513,0.052036278605461124,-0.23469743943214416,48,"Mul($gr_total_asset_lyr,Sub(Sub($ratio_sp_ttm,Sub($volume,-5.0)),TsPctChange(Inv(SLog1p(Div(-0.5,$high))),40)))"
