rank,pool_name,display_name,style_tag,score,na,nb,nc,annual_rex,annual_sr,turn,max_dd,active_factors,pool_age_months
18,\"多因子组\",\"努尔\",\"价值质量型\",22385.3906,0.29379,0.00000,1.00000,1.23289,4.58297,0.67131,0.04340,5,0
19,\"悟空量价\",\"悟空\",\"动量技术型\",22216.0178,0.27455,0.00000,1.00000,1.03864,4.22895,0.50000,0.02521,5,0
20,\"灵犀6边形\",\"灵小犀\",\"综合型\",22120.8271,0.26373,0.00000,1.00000,0.29473,3.64618,1.48603,0.03032,11,0
21,\"moFA\",\"moonjook\",\"综合型\",22015.4974,0.25176,0.00000,1.00000,0.37428,2.33012,0.81474,0.03217,6,0
22,\"octopus_低波低换手_0914\",\"iceRubra\",\"综合型\",21988.4091,0.24868,0.00000,1.00000,0.23295,4.56436,0.50000,0.03090,6,0
23,\"价值质量\",\"大黄鱼队\",\"价值质量型\",21970.5655,0.24666,0.00000,1.00000,2.46651,11.85954,0.50000,0.00279,5,0
24,\"W-F\",\"wyty\",\"综合型\",21865.1747,0.23468,0.00000,1.00000,0.46815,1.30189,0.79901,0.05703,6,1
25,\"五域动态Alpha\",\"霖笙\",\"综合型\",21802.4088,0.22755,0.00000,1.00000,0.51575,2.00969,1.34119,0.04545,5,0
26,\"测试\",\"小翔\",\"价值质量型\",21645.5409,0.20972,0.00000,1.00000,0.55615,2.43946,1.09960,0.04703,13,0
27,\"AI哇呀呀\",\"江湖墨明\",\"价值质量型\",21632.3146,0.20822,0.00000,1.00000,2.65654,19.72095,0.50000,0.00000,5,0
28,\"可控动量\",\"c avant\",\"动量技术型\",21613.1053,0.20603,0.00000,1.00000,2.00739,24.68635,0.50000,0.00000,11,0
29,\"白小纯二号\",\"没什么好说的\",\"价值质量型\",21600.0708,0.20455,0.00000,1.00000,3.11617,23.23908,0.50000,0.00000,16,0
30,\"中低频因子\",\"南邮Alpha战队\",\"动量技术型\",21547.9277,0.19863,0.00000,1.00000,0.81862,9.33715,0.71357,0.01283,10,0
31,\"欢乐豆套利\",\"困了就睡觉\",\"动量技术型\",21473.1818,0.19013,0.00000,1.00000,0.73412,13.30195,0.50000,0.00000,5,0
32,\"点金神手因子\",\"卡卡罗特\",\"Agent均衡\",21323.1824,0.48531,0.00000,0.86124,0.39678,1.73429,1.26846,0.03956,5,1
33,\"技术因子精选\",\"xiaoxinxin\",\"动量技术型\",21318.5014,0.17256,0.00000,1.00000,0.75433,3.99803,1.25498,0.03562,5,0
34,\"waywardzz\",\"阳澄湖第一蟹\",\"价值质量型\",21301.9241,0.17067,0.00000,1.00000,0.86259,11.99978,0.50000,0.00000,5,0
35,\"高频5日调仓\",\"共享蓝\",\"高频Alpha\",21225.8893,0.16203,0.00000,1.00000,0.87995,5.73104,0.59145,0.03047,5,0
