selection,size,comb,na,nb,nc,net,turnover,test,recent,s_recent,raw_a,change
size_only+impact60+chip250+book_to_market_lf_plus_impact+rsi14,5,0.20958739627271927,0.15018373735499999,0.13041511698736225,0.29756746190253885,20.469489677711362,37.67544220611325,26.68451766765802,7.4544257949216375,0.007824907019241734,0.0120146989884,swap book_to_market_lf_minus_size -> rsi14
size_only+impact60+chip250+book_to_market_lf_minus_size+rsi14,5,0.20027679127734266,0.15398147401499998,0.11848527102454393,0.2844681147016717,20.36012081536728,38.256002186069026,26.29323507150854,7.67144120234408,0.007109116261472636,0.0123185179212,swap book_to_market_lf_plus_impact -> rsi14
size_only+impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha44,6,0.19310010989185034,0.15042741838749998,0.14175748351528877,0.2519989044088873,18.507724902751644,37.888303403865486,21.28430869500427,7.070210648012866,0.008505449010917326,0.012034193471,add alpha44
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+rsi14,5,0.19109745890128138,0.16685935298999996,0.11713753316181831,0.25939433710365545,17.517137380419996,36.174050963085705,20.55324877289705,5.697154599841883,0.007028251989709099,0.013348748239199997,swap size_only -> rsi14
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha13,5,0.1907044068328203,0.157272380535,0.12367871619424683,0.25769417790629756,18.231011810470925,38.29194927413858,20.007911350215462,3.417875509616919,0.00742072297165481,0.0125817904428,swap size_only -> alpha13
size_only+impact60+chip250+book_to_market_lf_minus_size+alpha13,5,0.19008878610141564,0.14439450156,0.12849130157174038,0.25830651164290336,20.291042251672035,40.804547024025865,23.38208447629774,3.0666397390510975,0.007709478094304423,0.011551560124799999,swap book_to_market_lf_plus_impact -> alpha13
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha44,5,0.18969423671737676,0.15733648068,0.1848659654019995,0.20783078375705982,16.23082434614739,36.92230450883539,18.056039710028262,6.567009599039528,0.011091957924119971,0.012586918454400001,swap chip250 -> alpha44
size_only+impact60+chip250+book_to_market_lf_plus_impact+alpha13,5,0.18762053974061804,0.1405967649,0.1408386348795912,0.24490592122835808,19.161291788028617,40.32781609814821,22.37780456127374,3.6412523469382894,0.008450318092775471,0.011247741192,swap book_to_market_lf_minus_size -> alpha13
size_only+impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+max5_low21,6,0.18389246775599355,0.14234578969999997,0.12160305200345478,0.25080498136618756,17.6738319211014,36.38669378580441,18.01861300954774,5.503746267449893,0.007296183120207286,0.011387663175999999,add max5_low21
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+rsi14,5,0.1793172009931837,0.15300661443,0.09558322106165597,0.2561372238568981,18.08152694257622,37.113575115533024,21.887452283843256,6.550473379079783,0.005734993263699358,0.0122405291544,swap impact60 -> rsi14
