field,direction,periods,rank_ic,ic_ir,win,s_i,turnover,gross,net,efficiency,finite_share
bs_total_liab,1,120,-0.00966188014060128,0.05356567342059489,0.30833333333333335,0.00015957641084078373,0.005808488361511849,-0.05920991941000464,-0.060088162850265234,0.007978820542039187,0.9757198022860673
cal_10d_120d_turnover_ratio,0,120,-0.0687527656672878,-0.41354092242002066,0.5583333333333333,0.015874579190912563,0.6052484976247385,-0.22461291947940376,-0.31612649232026424,0.02622820090130153,0.8047652147049738
cal_10d_avg_turnover,0,120,-0.07843974574538135,-0.3428740056734548,0.575,0.015464596150942582,0.39450336550164194,-0.2747475613934688,-0.33439647025731706,0.03920016279526066,0.8493605189990733
cal_10d_vol_std,0,120,-0.07188517266484713,-0.4604273335758231,0.5333333333333333,0.01765221246598038,0.43809709807762404,-0.22644753519356542,-0.2926878164229022,0.04029292260423209,1.0
cal_120d_avg_turnover,0,120,-0.04639103580816698,-0.17284100127671237,0.525,0.004209593366657384,0.07868108558351536,-0.159329710080087,-0.17122629022031452,0.05350197363747794,0.8047652147049738
cal_12d_vol_ma,0,120,-0.0627582573801122,-0.4203562360731707,0.5583333333333333,0.014729293877271848,0.23504539679736583,-0.2122988939145417,-0.24783775791030344,0.06266574065251773,1.0
cal_20d_120d_turnover_ratio,0,120,-0.06072274006464885,-0.3090313222707789,0.525,0.0098517450433937,0.43542332490944163,-0.18245254695650803,-0.2482885536828156,0.022625671340511317,0.8047652147049738
cal_20d_amt_ma,0,120,-0.09352441134712451,-0.3514943890077199,0.575,0.01890215084866441,0.17053316108125405,-0.1989918843592121,-0.22477649831469773,0.1108414969195234,0.9036731541550819
cal_20d_amt_std,0,120,-0.09310248148456174,-0.3762497407422332,0.6,0.021017870712614954,0.20319317830569708,-0.21583539983043032,-0.24655820839025172,0.10343787566034475,0.9036731541550819
cal_20d_avg_turnover,0,120,-0.07187369584804744,-0.27550518494613224,0.5583333333333333,0.011055879859286254,0.2724554552944341,-0.2268557575094604,-0.26805102234997885,0.04057866944649176,0.8452517763361139
cal_20d_vol_std,0,120,-0.06605925271169912,-0.4511675748655208,0.5333333333333333,0.015895356183128463,0.27339218348901384,-0.2143040147359513,-0.2556409128794902,0.05814122401113641,1.0
cal_30d_avg_vol_ratio,1,120,0.03877017906756883,0.2882201008069045,0.5083333333333333,0.005680292000571184,0.7583873704397653,0.02265661174136202,-0.0920115586691305,0.007489961228227414,0.8530892801977139
cal_30d_close_avg_ratio,1,120,0.07481132755887818,0.350030101896991,0.48333333333333334,0.012656671360766928,0.6392741032424721,0.05773322584520901,-0.03892501856505279,0.019798504736185666,0.9014241581711462
cal_30d_close_std_ratio,0,120,-0.05152186464353492,-0.07975944567811726,0.4666666666666667,0.0019176991699932891,0.4678653566840416,-0.08337788918964972,-0.1541191311202768,0.004098827029179568,0.9014241581711462
cal_30d_down_day_ratio,1,120,0.012425479247851182,0.08516064639504185,0.475,0.0005026268761447129,0.5558264154173881,0.028367907351798616,-0.05567304665931046,0.0009042874937263896,1.0
cal_30d_high_low_dist,1,120,-0.0036479417634080846,0.03927265403056119,0.4,5.730574191918441e-05,0.8633324751037232,-0.023320798376315732,-0.15385666861199868,6.637737322727206e-05,0.9014241581711462
cal_30d_max_high_ratio,1,120,0.008347966225557628,0.11150922258313718,0.38333333333333336,0.0003568355025188499,0.513626599400879,0.032339825725206106,-0.04532051610420679,0.000694737194170009,0.9014241581711462
cal_30d_price_vol_corr,0,120,-0.05199786004206168,-0.2528257031441748,0.5166666666666667,0.006792304355682095,0.6150486674822524,-0.17070114600195263,-0.2636965045252692,0.011043523406833641,0.8500849552054371
cal_30d_ret_vol_corr,0,120,-0.04890035764775136,-0.2250752600245527,0.4583333333333333,0.005044536160061411,0.4981830442721375,-0.11810228655263033,-0.19342756284657753,0.010125868830866476,0.8499397590361446
cal_30d_up_day_ratio,0,120,-0.03594276098339003,-0.074120582244617,0.44166666666666665,0.001176643447442521,0.5629178085266887,-0.12851075278681423,-0.21362392543604958,0.002090257990810633,1.0
cal_30d_up_down_diff,0,120,-0.029652169560522048,-0.1573707907089122,0.4083333333333333,0.0019054406927394207,0.563045117345933,-0.11687924615249734,-0.20201166789520242,0.0033841705292130693,1.0
cal_30d_vol_dec_ratio,1,120,0.04483759243510093,0.43747567279326444,0.575,0.01127882965226118,0.8274847234278131,0.04406596458759959,-0.08104972559468573,0.013630257251806662,0.8566944701884461
cal_5d_close_std_ratio,0,120,-0.06702465411988451,-0.24402254053546274,0.5583333333333333,0.009131835560405062,0.7607568601597856,-0.2242963382676122,-0.33932277552377177,0.012003619078094224,0.9069725054062404
cal_5d_down_day_ratio,1,120,0.011069545804904895,0.12849495852075868,0.4583333333333333,0.0006519245466455757,0.889365547107453,0.04261200036885815,-0.09186007035378874,0.0007330220388746523,1.0
cal_5d_high_low_dist,0,120,-0.011608545915405988,-0.04021409237877796,0.4083333333333333,0.00019062108127871396,0.8737718298694477,-0.059938495287814364,-0.19205279596407485,0.00021815887713751896,0.9069725054062404
cal_5d_max_high_idx,0,120,-0.03990360961367669,-0.26733202708233655,0.525,0.005600444244111362,0.8817893096885929,-0.1249164819255093,-0.25824302555042455,0.006351227195177926,0.9069725054062404
cal_5d_min_low_idx,1,120,0.02508994756148175,0.2422974334581727,0.525,0.0031915956973672627,0.8871804316077945,0.05005953367542881,-0.08408214758366972,0.0035974595287040848,0.9069725054062404
cal_5d_min_low_ratio,1,120,0.06026276766857396,0.4363290814473729,0.6416666666666667,0.016872238756645914,0.7778541622259811,-0.013180376826672724,-0.13079192615524107,0.021690748183904703,0.9069725054062404
cal_5d_return,0,120,-0.04651022165843353,-0.4051487602884091,0.5833333333333334,0.010992075876631187,0.8494741380564553,-0.24939168811353074,-0.37783217778766676,0.012939859360263022,0.9067593450725983
