rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_periods,formula
21,0.0016180709935724735,0.0016300344141200185,0.004067586734890938,-0.007782389875501394,-0.00842216145247221,-0.0041849385015666485,-0.0006862841546535492,0.009343969291203643,0.0032226324547082186,0.0009745240543037653,0.008369445236899878,146,-0.1467576026916504,0.0026922773104161024,0.0008141446586698293,-0.14757174735032022,49,-0.03160977512598038,0.0025933205615729094,0.0007842201378196477,-0.032393995263800025,48,"Greater(Mul(Greater(10.0,$current_liabilities),-10.0),-0.01)"
22,0.00026820608763955534,0.0002682061167433858,0.0028984318487346172,0.0004644604923669249,-0.00860156025737524,-0.00040211123996414244,-0.0006323493435047567,0.005884088677902744,0.003393909428268671,0.001026318211108446,0.0048577704667942985,146,-0.14177258695874895,0.002634084550663829,0.0007965471681207418,-0.1425691341268697,49,-0.022270355187356473,0.0027797564398497343,0.0008405983474105595,-0.023110953534767033,48,"Greater($ratio_pcf_ocf_ttm,30.0)"
23,0.005613386165350676,0.005919697694480419,0.005256045144051313,0.0004225479788146913,-0.007617991417646408,-0.002000531880185008,0.0018077800050377846,-0.004516018416783581,0.01434562262147665,0.004338116280734539,-0.00885413469751812,146,-0.034967479961259026,0.012533481232821941,0.003790124724805355,-0.03875760468606438,49,-0.0686270870268345,0.01188642904162407,0.0035944561421871186,-0.07222154316902162,48,"Greater(-5.0,Inv(Log(TsRank(Log($gr_total_asset_lyr),30))))"
24,0.0010656170779839158,0.001065616961568594,0.005348652135580778,0.00043108625686727464,-0.008002029731869698,-0.0008778625633567572,-0.000597565493080765,-0.3031672462821007,0.26966869831085205,0.08154781436920167,-0.38471506065130234,48,0.44680913686752316,0.18252860009670258,0.055196648669242857,0.3916124881982803,14,-0.5837654829025268,0.1993233561515808,0.06027538290023804,-0.6440408658027649,21,"Sub(30.0,Div(TsKurt(Sign($ratio_bm_ttm),50),$ratio_ep_ttm))"
25,0.004760535433888435,0.004760535433888435,0.01786043681204319,-0.008897136896848679,0.01098635047674179,-0.004845892079174519,0.008096601814031601,0.02131173496376978,0.3278103470802307,0.09912984895706177,-0.07781811399329198,146,-0.05204932349068778,0.35300636291503906,0.1067491241455078,-0.15879844763619558,49,0.001070569083094597,0.3215142488479614,0.09722590885162352,-0.09615533976852893,48,"TsKurt($amount,50)"
26,0.043461885303258896,0.043461885303258896,0.0900098979473114,0.03413145989179611,0.11181332916021347,0.005327385850250721,0.07131481915712357,0.15018744991250235,0.3489327132701874,0.10551725249290467,0.044670197419597685,146,0.19393278530665806,0.35170114040374756,0.10635442485809325,0.0875783604485648,49,0.04735520705580712,0.34670376777648926,0.10484321937561034,-0.05748801231980322,48,"Mul($amount,-0.01)"
27,0.0008940061670728028,0.0008940061670728028,0.0008899368112906814,-0.0012647694675251842,0.005107207223773003,-0.00048811890883371234,-0.0009436279651708901,-0.02754333945986343,0.43290090560913086,0.13090923385620118,-0.1584525733160646,146,-0.10106007201331002,0.4212237298488617,0.12737805590629578,-0.2284381279196058,49,-0.052802661247551445,0.4516213536262512,0.13657029733657836,-0.1893729585841298,48,"TsCorr($oper_main_profit_ttm,$ratio_pcf_ocf_ttm,30)"
28,0.0017023371765390038,0.0017023371765390038,-0.012420911341905594,0.0031734632793813944,-0.013793319463729858,0.001261022756807506,-0.01159904059022665,0.0021271744513348357,0.009409541264176369,0.0028454452782869337,-0.000718270826952098,146,-0.145322390965053,0.008103749714791775,0.0024505739137530326,-0.14777296487880603,49,-0.05005687102675438,0.008127052336931229,0.0024576206266880033,-0.05251449165344238,48,"Less(Div($book_to_market_ratio_lf,$ratio_pcf_ocf_ttm),-10.0)"
29,0.0639442726969719,0.0639442726969719,0.0770447701215744,0.049696508795022964,0.0751510038971901,0.03364989161491394,0.06659616529941559,0.057106965045406397,0.33560287952423096,0.10148631076812745,-0.04437934572272105,146,-0.16181529419762747,0.3153783679008484,0.09537041845321656,-0.257185712650844,49,-0.05530194137245417,0.30988696217536926,0.09370981736183166,-0.14901175873428585,48,"Sub(30.0,$turnover)"
30,0.0013817717554047704,0.001494210329838097,-0.0038700385484844446,0.012791282497346401,0.019427623599767685,0.003127186093479395,8.420657832175493e-05,-0.00471896959902489,0.013728102669119835,0.004151378247141838,-0.008870347846166728,146,0.09506687521934509,0.0120928343385458,0.0036568731039762496,0.09141000211536884,49,-0.004490243922919035,0.013080986216664314,0.003955690231919289,-0.008445934154838325,48,Inv($current_liabilities)
31,0.003843848593533039,0.004250414669513702,0.006503910757601261,0.0056777214631438255,-0.001987070543691516,-0.00011011416063411161,-0.004663403145968914,0.015840498143679476,0.07536041736602783,0.022788990211486816,-0.00694849206780734,146,-0.09818352546010699,0.08227755129337311,0.024880731511116028,-0.12306425697122302,49,-0.03280186643823981,0.07690601050853729,0.02325637757778168,-0.05605824401602149,48,"TsMaxDiff($inventory,30)"
32,0.0004980246303603053,0.0004980249213986099,-0.03569238260388374,0.004453496541827917,-0.01469434704631567,0.006055362522602081,-0.012421160005033016,0.0954797627174691,0.04143012687563896,0.012528470367193222,0.08295129235027587,146,-0.1526838745389666,0.04148951172828674,0.012546428346633911,-0.1652303028856005,49,-0.037398946657776835,0.03920149803161621,0.011854533004760743,-0.049253479662537576,48,"Less($oper_main_profit_ttm,$book_to_market_ratio_lf)"
33,0.007073614746332169,0.007073614746332169,0.007753541227430105,0.0005140076391398907,-0.019822383299469948,0.006017349660396576,0.003628260688856244,0.008061918942895655,0.003263437654823065,0.0009868635468184947,0.007075055396077161,146,-0.14103203671319145,0.00255076726898551,0.0007713520221412181,-0.14180338873533266,49,-0.021597974561154844,0.0029854481108486652,0.0009027995087206363,-0.02250077406987548,48,"Less($ratio_sp_ttm,5.0)"
34,0.0021837109234184027,0.0030065090395510197,0.004833499435335398,0.0076831369660794735,-0.003860106226056814,0.003941331524401903,0.004951769020408392,0.1783190788224686,0.9782223701477051,0.295814444732666,-0.11749536591019738,43,0.07164826484826894,0.9767796397209167,0.2953781630516052,-0.22372989820333625,13,0.17569466829299926,0.9914679527282715,0.2998199089050293,-0.12412524061203004,14,"TsKurt(Add(0.5,TsRank($oper_roe_lyr,30)),10)"
35,0.0008373714517802,0.0008373715681955218,0.0028412938117980957,0.0015280232764780521,-0.006216571666300297,0.0012006059987470508,-0.0013962165685370564,-0.03566630694964161,0.052488505840301514,0.01587252416610718,-0.05153883111574879,146,0.0031918747084481378,0.05525121092796326,0.01670796618461609,-0.013516091476167953,49,-0.031457310542464256,0.05848105251789093,0.017684670281410218,-0.04914198082387447,48,"Less(2.0,Div(Less($turnover,$ratio_pcf_ocf_ttm),Mul(Pow($ratio_ep_ttm,10.0),$ratio_pcf_ocf_ttm)))"
36,0.0003093473787885159,0.00030934734968468547,0.00022835080744698644,-0.0020177490077912807,-0.007833477109670639,-0.0022243449930101633,-0.011396137066185474,-0.036775947107027654,0.02946002595126629,0.008908711847662926,-0.04568465895469058,146,0.014395921570914133,0.031320031732320786,0.009471177595853806,0.004924743975060326,49,-0.05380868576467038,0.032650113105773926,0.009873394203186035,-0.06368207996785641,48,"Div($ratio_bm_ttm,Mul(SLog1p(Rank($oper_main_profit_ttm)),Add($book_to_market_ratio_lf,-0.01)))"
37,0.0002542104630265385,0.00025421028840355575,0.0035907377023249865,-0.005109701305627823,-0.008307046256959438,-0.0031128707341849804,0.004448556341230869,-0.01728624995440653,0.39416271448135376,0.11919480485916137,-0.1364810548135679,146,-0.04437572274889265,0.39862561225891113,0.12054438514709473,-0.16492010789598738,49,-0.09430383145809174,0.4039625823497772,0.12215828490257263,-0.21646211636066437,48,"TsCorr(TsMaxDiff(Rank($current_assets),30),Sub(Pow($ratio_bm_ttm,-5.0),Less(TsMinDiff($ratio_sp_ttm,10),$current_liabilities)),40)"
