candidate,formula,s_i,seat_turnover,tag,na,nc,comb,net,gross,turnover,monthly_turnover,sr,dd,raw_c,finite_share
"Sub(TsDiv(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50)","Sub(TsDiv(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap),30),market_cap)",0.002370969507715703,0.0849095657467842,add-6th,0.2041203550494077,1.0,0.49082407100988157,0.23867691459405949,0.2601694945954123,0.14214669313064004,0.2842933862612801,1.1316263712944001,0.2745855289907829,0.6036556857518581,0.7908341056533829
"Sub(Ref(Ref(TsDelta(TsPctChange(TsMin(TsPctChange(open,20),5","Sub(Ref(Ref(TsDelta(TsPctChange(TsMin(TsPctChange(open,20),50),30),20),50),50),market_cap)",0.0023494366064633846,0.0847401693463325,add-6th,0.20407549483846538,1.0,0.4908150989676931,0.2385124345609959,0.260026590175781,0.14228938898667393,0.28457877797334785,1.1321037322216052,0.2745652110047392,0.6035161003961713,0.7953892493049118
"Sub(TsDiv(TsStd(TsKurt(TsKurt(TsSkew(high,50),50),50),50),50","Sub(TsDiv(TsStd(TsKurt(TsKurt(TsSkew(high,50),50),50),50),50),market_cap)",0.002334566129447806,0.0842157006263732,add-6th,0.20404451467801626,1.0,0.49080890293560325,0.23924639714845364,0.2607166429733869,0.1419989803236329,0.2839979606472658,1.133545892507415,0.27459705943656465,0.606109892804602,0.7892091442693852
"Sub(TsDiv(TsStd(TsKurt(TsSkew(TsMinDiff(TsStd(TsMax(high,20)","Sub(TsDiv(TsStd(TsKurt(TsSkew(TsMinDiff(TsStd(TsMax(high,20),10),50),50),50),50),50),market_cap)",0.00232508061981904,0.0841280743479728,add-6th,0.204024753199623,1.0,0.49080495063992463,0.23923430723837463,0.26070760394707726,0.1420191581263401,0.2840383162526802,1.133923405788634,0.27446388334123273,0.6064256197076768,0.7823849243126352
"Sub(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),marke","Sub(Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap),market_cap)",0.002296837088391165,0.0844845548272132,add-6th,0.20396591250914828,1.0,0.4907931825018297,0.23912956070485986,0.26059926449730453,0.1419953954526763,0.2839907909053526,1.133074479041138,0.27445826659684447,0.6057123795370984,0.803098548038307
"Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_ca","Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),50),market_cap)",0.0022968365931555538,0.0844845548272132,add-6th,0.2039659114774074,1.0,0.4907931822954815,0.23912956070485986,0.26059926449730453,0.1419953954526763,0.2839907909053526,1.133074479041138,0.27445826659684447,0.6057123795370984,0.803098548038307
"Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),30),market_ca","Sub(TsDiv(TsStd(TsKurt(TsSkew(high,50),50),50),30),market_cap)",0.0022954729697465836,0.0838820189237594,add-6th,0.20396307059530538,1.0,0.4907926141190611,0.2392546520523126,0.2606975657788777,0.1418182124772823,0.2836364249545646,1.133695127495982,0.2743872335108528,0.6064382592429914,0.8086824219956751
"Sub(TsCov(TsMinDiff(Log(TsMed(book_to_market_ratio_lf,30)),1","Sub(TsCov(TsMinDiff(Log(TsMed(book_to_market_ratio_lf,30)),10),TsCorr(TsMed(TsVar(Constant(10.0),40),20),TsIr(TsWMA(ratio_sp_ttm,10),10),30),40),market_cap)",0.002155447171794532,0.084386296570301,add-6th,0.20367135018290525,1.0,0.49073427003658104,0.23958423242982257,0.26103882617031715,0.1418954612466573,0.2837909224933146,1.1349015414573622,0.2742695946391739,0.6080478182094421,0.8153521779425394
"Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Add(TsDiv(b","Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),30)),market_cap)",0.002149256563389772,0.0939383655786514,add-6th,0.203658453082062,1.0,0.4907316906164124,0.23952997044538035,0.26101361355950403,0.1420875867336223,0.2841751734672446,1.133852067331035,0.2742968860012591,0.6073183058182633,0.8328251467408094
"Sub(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),market_cap)","Sub(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),market_cap)",0.0021401189202181247,0.0842720717191696,add-6th,0.20363941632545443,1.0,0.49072788326509087,0.23976693433607515,0.2612395814842199,0.1420148620909044,0.2840297241818088,1.1346148779201712,0.27424547408511246,0.6083840467816289,0.8166404077849861
Sub(TsMaxDiff(TsMed(TsMean(TsDelta(TsMax(TsMinMaxDiff(ratio_,"Sub(TsMaxDiff(TsMed(TsMean(TsDelta(TsMax(TsMinMaxDiff(ratio_ep_ttm,20),20),30),50),40),20),market_cap)",0.002396335121654465,0.0844970643520355,add-6th,0.2041732000784468,0.9996767003054656,0.4906891551531489,0.23698007681968328,0.2584716298593295,0.14213990105586113,0.28427980211172227,1.1319874462655481,0.27435190045677793,0.5998060201832793,0.7808495520543713
"Sub(TsWMA(TsMin(TsDiv(TsMinMaxDiff(TsMinMaxDiff(amount,30),4","Sub(TsWMA(TsMin(TsDiv(TsMinMaxDiff(TsMinMaxDiff(amount,30),40),30),50),30),market_cap)",0.0023938014128773765,0.0844225138425827,add-6th,0.20416792151849453,0.9995066131467908,0.4906115602197547,0.23696154580038542,0.2584335432923912,0.14201056542331875,0.2840211308466375,1.1318833568190376,0.27435190045677793,0.5997039678880745,0.782139326536917
Sub(TsMinDiff(TsStd(TsMean(TsSkew(TsWMA(TsMed(TsMin(book_to_,"Sub(TsMinDiff(TsStd(TsMean(TsSkew(TsWMA(TsMed(TsMin(book_to_market_ratio_lyr,20),20),20),30),10),50),50),market_cap)",0.0024156314918232996,0.0844724550843238,add-6th,0.20421340084963188,0.997041552905028,0.489511378977189,0.23663457475843394,0.2581331886139906,0.1421865995737874,0.2843731991475748,1.131257448969708,0.27465109335981996,0.5982249317430168,0.7735233240654928
"Sub(TsMaxDiff(TsCorr(TsSkew(TsSum(TsMinMaxDiff(TsMad(amount,","Sub(TsMaxDiff(TsCorr(TsSkew(TsSum(TsMinMaxDiff(TsMad(amount,40),10),30),40),book_to_market_ratio_lf,10),40),market_cap)",0.002403724849635556,0.0840502306818962,add-6th,0.20418859534507408,0.9930906604402212,0.48772851626711433,0.23598049060653764,0.25743091591740797,0.14186789226766092,0.28373578453532183,1.129523769295135,0.27446605498807564,0.5958543962641327,0.785787766450417
