components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,full_min_member_addition_pp,full_vs_best_single_pp
SIZE+H03+RET40+DD120+DD60+ASSET_GROWTH+C01+C02,8,full,120,2021-09-07,2026-08-10,4743.825,,,14.22521138331206,34.879300836488675,5.273750286477087,8.951461096834972,0.6574225507810966,34.27373444927333,73.33333333333333,-1.5483448071349049,-8.174502444354395
SIZE+DD120+CHIP250+DD60+ASSET_GROWTH+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,12.793979687968124,31.09549633898325,4.701639046454266,8.092340641513857,0.628738286373511,33.051845486680406,70.0,-0.9082658754805202,-9.03362289967551
SIZE+H03+RET40+DD60+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4743.825,,,15.364621051904342,35.118096196202025,5.309856144865746,10.054764907038596,0.6986962562770109,35.64514328664035,73.33333333333333,-2.8293341282729365,-7.071198634150772
SIZE+H03+RET40+DD120+DD60+ASSET_GROWTH+C01,7,full,120,2021-09-07,2026-08-10,4743.825,,,14.375231686595452,34.639479366224364,5.237489280173124,9.137742406422328,0.6617887882278088,34.724451892844954,73.33333333333333,-1.8788149368988984,-7.988221134767039
SIZE+RET40+DD120+CHIP250+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4743.825,,,13.732890094254143,33.430165926874444,5.054641088143415,8.678249006110727,0.6554778437014595,33.4653036307747,71.66666666666667,-1.069237239299902,-8.44771453507864
H03+DD120+ASSET_GROWTH+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,11.795798360652132,28.62228739337948,4.327689853878977,7.468108506773155,0.625154512585891,33.24751266552598,71.66666666666667,-1.7897601901525606,-6.798358703182953
SIZE+H03+RET40+DD120+CHIP250+DD60+C01+C02+C03,9,full,120,2021-09-07,2026-08-10,4743.825,,,14.357667622216258,36.967478276492486,5.589482715405665,8.768184906810594,0.645089864884447,33.34844763157064,73.33333333333333,-0.7739980757054123,-8.357778634378773
SIZE+H03+RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C02+C03,9,full,120,2021-09-07,2026-08-10,4743.825,,,14.015367961703497,34.57997241609153,5.228491829313038,8.786876132390457,0.6490148966005613,33.53648517638922,73.33333333333333,-1.162135015573277,-8.33908740879891
H03+CHIP250+DD60+ASSET_GROWTH+C02+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,13.070491211604612,31.90280942984065,4.823704785791906,8.246786425812706,0.6448209711182639,33.14893531061005,66.66666666666666,-1.432162280739007,-6.019680784143402
SIZE+H03+RET40+CHIP250+DD60+C01+C02+C03,8,full,120,2021-09-07,2026-08-10,4743.825,,,15.230869674908815,37.731681280399634,5.705030209596425,9.52583946531239,0.6679732379066514,33.7289137261601,71.66666666666667,-0.7539014003178757,-7.600124075876977
