components,factor_count,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_min_member_addition_pp,recent_vs_best_single_pp
SIZE+H03+RET40+DD120+ASSET_GROWTH+C03,6,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,8.713903024255,31.973771044837367,4.83443418197941,3.87946884227559,-0.2759715207427369,20.34460080477196,62.5,-5.325595837353418,-12.396682595517444
SIZE+H03+DD120+DD60+ASSET_GROWTH,5,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,7.445310798548952,26.729198879890266,4.041454870639408,3.4038559279095453,-0.2925632899245824,20.826369068534067,62.5,-7.269620354238283,-12.872295509883488
SIZE+H03+RET40+DD120+CHIP250+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.714256459268836,33.716937384900056,5.0980009325968885,1.6162555266719476,-0.3685330396044974,21.55939180920248,62.5,-3.003897961064113,-14.659895911121083
SIZE+H03+DD120+CHIP250+DD60+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.017873203573119,31.235591209708986,4.722821390907998,1.2950518126651211,-0.3819864089390171,21.091870493656597,62.5,-2.606439375574777,-14.98109962512791
SIZE+H03+RET40+DD120+CHIP250,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.36079168587603,32.75183337803204,4.952077206758444,3.4087144791175863,-0.2919203816951822,21.19166186619913,62.5,-3.936532960469252,-12.867436958675446
SIZE+H03+DD120+DD60+ASSET_GROWTH+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.030437055177258,27.99857115082921,4.233383958005376,0.797053097171882,-0.3924297704313358,21.383851257454037,50.0,-6.589973045573951,-15.479098340621151
SIZE+H03+DD120+DD60+ASSET_GROWTH+C03,6,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,5.038274729432344,28.269664547977165,4.274373279654147,0.7639014497781975,-0.3959229786401279,21.34286933741297,50.0,-5.687969536659854,-15.512249988014837
SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH+C01+C02,8,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,2.4943306411050883,29.96786614813845,4.531141361598533,-2.036810720493445,-0.5192686323322797,22.187922907784053,50.0,-1.6210038232412072,-18.31296215828648
SIZE+H03+DD120+CHIP250+C02+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.107947704336399,29.19754453020625,4.414668732967185,0.6932789713692135,-0.4071483016222964,21.73181623465376,62.5,-3.647148397508681,-15.58287246642382
SIZE+H03+DD120+CHIP250+C01+C02+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.674813673622552,30.49049106555433,4.610162249111815,-0.935348575489263,-0.4755452302645055,22.249700550597705,50.0,-2.7957669581088838,-17.211500013282297
SIZE+H03+CHIP250+DD60+ASSET_GROWTH+C01+C02,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.639925449192257,28.820728484259146,4.357694146819982,-0.7177686976277255,-0.4570159110708647,22.3936128600136,50.0,-3.138731062794321,-16.99392013542076
