variant,scope,label_offset,group,periods,platform_periods,local_cumulative_return,platform_cumulative_return_window,local_cumulative_excess,platform_cumulative_excess_window,local_annualized_return,platform_window_annualized_return,platform_reported_annualized_return,local_annualized_excess,platform_window_annualized_excess,platform_reported_annualized_excess,local_turnover,platform_reported_turnover,platform_reported_sharpe,same_group_return_sequence,same_group_excess_sequence,best_platform_group_by_return_corr,best_platform_return_corr,best_platform_group_by_excess_corr,best_platform_excess_corr
raw_close_2024,raw_2024,0,4,48,48,0.13058944426815802,0.08662675321102142,0.04057898541497253,-0.04073259234428406,0.1371189164815659,0.09095809087157249,0.08779999999999999,0.042607934685721154,-0.04276922196149826,-0.033,0.887799394873787,0.2606,0.2406,"{'n': 48, 'corr': 0.8097625639540293, 'rmse': 3.6039531179566495, 'mean_delta': 0.09158893970236814, 'sign_agreement': 0.8125}","{'n': 48, 'corr': -0.04569498890210002, 'rmse': 0.940494855290374, 'mean_delta': 0.1693991203317846, 'sign_agreement': 0.5208333333333334}",6,0.8229598236105813,1,0.4242565431286963
raw_close_2024,raw_2024,0,5,48,48,0.1361894685837235,0.12726211175322533,0.04617900973053784,-9.726919233798981e-05,0.14299894201290966,0.1336252173408866,0.1137,0.04848796021706473,-0.00010213265195488929,-0.0070999999999999995,0.8882449277381469,0.39590000000000003,0.32,"{'n': 48, 'corr': 0.8183662276068183, 'rmse': 3.7148536091777444, 'mean_delta': 0.018598660063537702, 'sign_agreement': 0.7708333333333334}","{'n': 48, 'corr': -0.4391655406257472, 'rmse': 1.0342558608850752, 'mean_delta': 0.09640891442265796, 'sign_agreement': 0.4166666666666667}",6,0.8283877677966873,1,0.35064051822159586
raw_close_2024,raw_2024,0,6,48,48,0.140248516509864,0.13059186190366745,0.05023805765667839,0.0032324977219104767,0.1472609423353572,0.1371214549988508,0.1363,0.0527499605395123,0.0033941226080060004,0.015300000000000001,0.8889997877441664,0.499,0.3857,"{'n': 48, 'corr': 0.8383547735122555, 'rmse': 3.647596842982915, 'mean_delta': 0.020118030429576123, 'sign_agreement': 0.7708333333333334}","{'n': 48, 'corr': -0.07177980876394563, 'rmse': 1.0133866862342413, 'mean_delta': 0.0979282498640998, 'sign_agreement': 0.375}",6,0.8383547735122555,8,0.11878149751728435
raw_close_2024,raw_2024,0,7,48,48,0.10372534130062849,0.1278061717748642,0.013714882447442853,0.00044681038707494736,0.10891160836565991,0.1341964803636074,0.1324,0.014400626569814995,0.0004691509064286947,0.011399999999999999,0.8893891421466269,0.5717,0.3574,"{'n': 48, 'corr': 0.8434123179703447, 'rmse': 3.7383036253820103, 'mean_delta': -0.0501683968213245, 'sign_agreement': 0.8333333333333334}","{'n': 48, 'corr': 0.3889444630084322, 'rmse': 1.055752023304237, 'mean_delta': 0.027641816792433136, 'sign_agreement': 0.5625}",6,0.8513340913991723,7,0.3889444630084322
raw_close_2024,raw_2024,0,8,48,48,0.10666837400020909,0.12510308623313904,0.016657915147023528,-0.0022562257945537567,0.11200179270021954,0.13135824054479597,0.1578,0.017490810904374703,-0.0023690370842814443,0.0368,0.8982051842634114,0.6046,0.4331,"{'n': 48, 'corr': 0.8441009013806366, 'rmse': 3.795831631272943, 'mean_delta': -0.03840565048527075, 'sign_agreement': 0.7291666666666666}","{'n': 48, 'corr': 0.3575815128718177, 'rmse': 1.2947507498133242, 'mean_delta': 0.039404460294952634, 'sign_agreement': 0.5625}",6,0.8510921970395103,7,0.3976598240507976
raw_close_2024,raw_2024,0,9,48,48,0.03898415110384207,0.13408225029706955,-0.05102630774934354,0.006722856312990189,0.04093335865903417,0.14078636281192303,0.1825,-0.05357762313681071,0.007058999128639698,0.0616,0.8932765507589083,0.573,0.5147,"{'n': 48, 'corr': 0.838075718549673, 'rmse': 3.8394465520587833, 'mean_delta': -0.19812103998589062, 'sign_agreement': 0.7708333333333334}","{'n': 48, 'corr': 0.3244144579611477, 'rmse': 1.4938956907608483, 'mean_delta': -0.12031075846319526, 'sign_agreement': 0.5208333333333334}",6,0.8559192628055646,7,0.45564010863191307
raw_close_2024,raw_2024,0,10,48,48,-0.12015835399908231,0.09859441965818405,-0.21016881285226788,-0.028764944523572922,-0.1261662716990364,0.10352414064109325,0.1379,-0.22067725349488126,-0.030203191749751567,0.017,0.8507694951835327,0.337,0.3871,"{'n': 48, 'corr': 0.8116558096255959, 'rmse': 4.03275317330654, 'mean_delta': -0.45573494511930496, 'sign_agreement': 0.7708333333333334}","{'n': 48, 'corr': 0.06712535396677628, 'rmse': 1.7795964887823152, 'mean_delta': -0.37792472568478114, 'sign_agreement': 0.625}",6,0.8607163864467829,6,0.5679490759833871
raw_open_2024,raw_2024,1,1,48,48,0.18474860760244605,0.16142367757856846,0.0671908928301855,0.03406430594623089,0.19398603798256833,0.16949486145749687,0.07919999999999999,0.07055043747169477,0.03576752124354243,-0.0417,0.8866773705730137,0.021400000000000002,0.2736,"{'n': 48, 'corr': 0.905911761724775, 'rmse': 3.7822673700870064, 'mean_delta': 0.0485936042164117, 'sign_agreement': 0.8125}","{'n': 48, 'corr': -0.5764903711015577, 'rmse': 3.798882935126622, 'mean_delta': 0.06901372267490558, 'sign_agreement': 0.4375}",6,0.9857172202437008,7,0.6279936831122223
raw_open_2024,raw_2024,1,2,48,48,0.18616432555906132,0.148385651409626,0.06860661078680078,0.02102631237357855,0.19547254183701437,0.1558049339801073,0.0883,0.07203694132614082,0.022077627992257473,-0.0325,0.9028505111086476,0.075,0.2929,"{'n': 48, 'corr': 0.9571971566442655, 'rmse': 2.689397777361619, 'mean_delta': 0.07870557114465684, 'sign_agreement': 0.9166666666666666}","{'n': 48, 'corr': -0.4823515143341717, 'rmse': 2.6972620229184354, 'mean_delta': 0.09912562169421295, 'sign_agreement': 0.4166666666666667}",5,0.9841493630205276,7,0.5298012492532181
raw_open_2024,raw_2024,1,3,48,48,0.1477116553519709,0.13491711765527725,0.03015394057971032,0.007557731121778488,0.15509723811956944,0.1416629735380411,0.08539999999999999,0.03166163760869583,0.007935617677867412,-0.0354,0.8975595428091927,0.1446,0.2545,"{'n': 48, 'corr': 0.9801382607825302, 'rmse': 1.6203414859326521, 'mean_delta': 0.026655286868111697, 'sign_agreement': 0.9583333333333334}","{'n': 48, 'corr': -0.24436337295595265, 'rmse': 1.619823546915733, 'mean_delta': 0.047075436370691344, 'sign_agreement': 0.5}",5,0.984941692374925,7,0.39630144885514323
