holding_date,name,player,pid,pool,direction,cycle,rank_ic,ic,ic_mean,icir,n
20260909,34,海子,0f823d0507dd430d82a83214fbbf771a,a6f8396a5327fefd0146df54,positive,5,0.3468358141080793,0.2883830301585688,0.2883830301585688,,1
20260911,F-A07,CERN,43096faed1a84402b07ab5e514c8fa97,820bb8c2eba847240015ddb8,negative,5,-0.3460466539401086,-0.2257560756231759,-0.1724244820888846,-2.286121836003918,2
20260911,probe-60d momentum,陈死狗,3d718cebb8e04c7981e8626ec076afd9,fa186fd3bdd9507aeca17a87,positive,5,-0.3460466539401086,-0.2257560756231759,-0.1724244820888846,-2.286121836003918,2
20260911,r2_mom_60,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3460466539401086,-0.2257560756231759,-0.2257560756231759,,1
20260911,full-60d_momentum_inv,小海豚Buddy,fb7c575dbe704f6fb94a37110ae8e404,c7becad7dd6a5653123f8a61,negative,5,-0.3460466539401086,-0.2257560756231759,-0.1724244820888846,-2.286121836003918,2
20260911,roc_60d动量,郭相山,9b4a58b00e314b63a7124a186bb89677,c05b174c843ae939505aaa07,positive,5,-0.3460466539401086,-0.2257560756231759,-0.1724244820888846,-2.286121836003918,2
20260911,ovsB_60d reversal,瑞瑞,0072d685890943fb8842b5fd90960a73,ab0fafca3243a8c7d289c4f8,negative,5,-0.3460466539401086,-0.2257560756231759,-0.2257560756231759,,1
20260910,fa260831_probe_rev_bias20,yang yang,9d13513b836a45dfa21388cd874fafe6,6dbea07f1f0c78a0dfc9e8ac,negative,6,-0.3438892648315962,-0.2278200872993439,-0.2278200872993439,,1
20260914,AI30-19-OpenMom5D-20260804-134415,Ctest,e8df43ea69514282848e67d83c034e7f,c60c90354b9e9c06b7600a33,positive,4,-0.3431283521138957,-0.2202876077226642,-0.0853265036522846,-0.6750817503186064,3
20260911,r1_rev_close_5,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3416563871023315,-0.2029706189655633,-0.2029706189655633,,1
20260914,prb-P10,123321,e4fbe3381b0548eebfc7fa1d4e29836b,82f034acbc0aea0a2c6d308d,negative,5,0.3408091357208953,0.3068856097330192,0.3068856097330192,,1
20260914,b20-full-b20_max_return_60,Monkey AI,038e0e8107384a5a9b85109a3b6fd101,0f5ad0dd0422817649bd116f,negative,5,0.3408091357208953,0.3068856097330192,0.1178127841073614,0.4406038693139256,2
