formula,net_excess,gross_excess,turnover,annual_cost,periods,coverage,rank_ic,ic_mean,ic_ir,absolute_max_drawdown,excess_max_drawdown,run,objective
"TsMin(ema250,30)",-0.0857224608287215,-0.0828045862913131,0.0192981120198965,0.0029178745374083,120,1.0,-0.0302139855921268,-0.0111314477398991,-0.1376511614001221,0.5464452505111694,0.4863985180854797,front_wide_s9841,aligned_ic_frontier
"TsRank(macd_diff,40)",-0.1082258084982633,0.0052372229844331,0.7504168748855591,0.1134630314826965,120,1.0,0.0304172337055206,0.01490312628448,0.1315970698775802,0.2594770193099975,0.1265703439712524,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsVar(wma3,20),40)",-0.1811857298612594,-0.1176134687662124,0.4204514622688293,0.063572261095047,120,1.0,-0.0541617572307586,-0.0042284419760107,-0.0991016092411644,0.6037718057632446,0.5714976787567139,front_wide_s9841,aligned_ic_frontier
"TsEMA(ratio_market_cap_total,10)",-0.1092560648471117,-0.1042691713571548,0.0329820998013019,0.0049868934899568,120,1.0,-0.0543696843087673,-0.0054830722510814,-0.0842785472663845,0.3706803917884826,0.4223355650901794,front_wide_s9841,aligned_ic_frontier
"TsMin(ma250,30)",-0.0866334989637136,-0.0837417072057724,0.0191256068646907,0.0028917917579412,120,1.0,-0.0291422121226787,-0.0112295094877481,-0.1423501087176829,0.547700047492981,0.4872791767120361,front_wide_s9841,aligned_ic_frontier
"TsRank(madpo,50)",-0.1185456705093383,-0.006739364862442,0.7394596934318542,0.1118063056468963,120,1.0,0.0307298265397548,0.0142838368192315,0.1275873936227736,0.2762633562088012,0.1834837794303894,front_wide_s9841,aligned_ic_frontier
"TsMin(vma250,30)",-0.0863837789520621,-0.0834829938411712,0.0191850867122411,0.0029007851108908,120,1.0,-0.0290970895439386,-0.0112263048067688,-0.1423720113831911,0.5481204986572266,0.4875646829605102,front_wide_s9841,aligned_ic_frontier
"TsMaxDiff(ema250,50)",-0.1871424187660217,-0.1551397740840912,0.211657702922821,0.0320026446819305,120,1.0,-0.0383547730743885,0.0090227182954549,0.1217673931800496,0.4683529138565063,0.5277146100997925,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(sp_ratio_ttm,50)",-0.0080287299871444,0.0339861917495727,0.27787646651268,0.0420149217367172,120,1.0,0.0465415343642234,0.0067351632751524,0.1120891845229393,0.2346256375312805,0.133499801158905,front_wide_s9841,aligned_ic_frontier
"TsSum(lwr1,50)",-0.0283732477784156,0.0311935356259346,0.3939602077007293,0.0595667834043502,120,1.0,0.0296837780624628,0.0144082698971033,0.1446246227044426,0.3103885650634765,0.1782270073890686,front_wide_s9841,aligned_ic_frontier
"TsEMA(TsWMA(TsSum(TsSkew(hma5,30),20),50),20)",-0.0880418543994426,-0.0398863153159618,0.3184890151023865,0.0481555390834808,120,1.0,-0.0279976669698953,-0.0101781990379095,-0.1446612170798102,0.2949181795120239,0.1851267218589782,front_wide_s9841,aligned_ic_frontier
"TsVar(ma30,30)",-0.0989737437486648,-0.0606304013729095,0.2535935342311859,0.0383433423757553,120,1.0,-0.046601578593254,-0.0048697371967136,-0.119956092757863,0.5485661029815674,0.4855234622955322,front_wide_s9841,aligned_ic_frontier
"TsMaxDiff(bias5,50)",-0.171982463979721,-0.0561353302001953,0.7661847472190857,0.1158471337795257,120,1.0,0.040870726108551,0.0124032469466328,0.0931914030517222,0.2417844533920288,0.3405311703681946,front_wide_s9841,aligned_ic_frontier
"TsMin(wma250,50)",-0.0845671554207801,-0.081390380859375,0.0210104137659072,0.0031767745614051,120,1.0,-0.0297679845243692,-0.0108927907422184,-0.1375587115634494,0.5425912141799927,0.4849838018417358,front_wide_s9841,aligned_ic_frontier
"TsMed(book_to_market_ratio_lyr,50)",0.0041976815745234,0.008629083931446,0.0293082166463136,0.0044314023569226,120,1.0,0.0468033291399478,0.0121229235082864,0.082724764901311,0.2185152173042297,0.2304187417030334,front_wide_s9841,aligned_ic_frontier
"TsMean(a_share_market_val_in_circulation,10)",-0.0999058395668864,-0.095241978764534,0.0308456402271986,0.0046638608023524,120,1.0,-0.0454173684120178,-0.006286634132266,-0.0952096212773275,0.3456869721412658,0.3907676339149475,front_wide_s9841,aligned_ic_frontier
"TsVar(wma250,50)",-0.0763079036772251,-0.0611712849140167,0.1001099124550819,0.0151366187632083,120,1.0,-0.0440742224454879,-0.0058059967122972,-0.1194712823925787,0.5434703826904297,0.4896620512008667,front_wide_s9841,aligned_ic_frontier
"TsMed(TsMin(amv120,50),50)",-0.0859932186216116,-0.0823691770434379,0.0239685289561748,0.0036240415781736,120,1.0,-0.0286533832550048,-0.0114508522674441,-0.1345221043991204,0.5457197427749634,0.4848087430000305,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsKurt(ev_no_cash_lyr,30),30)",-0.2129805063843727,-0.0841222921013832,0.8522368669509888,0.1288582142829895,120,1.0,-0.0110291065648198,-0.0162465069442987,-0.355416961921228,0.3753349184989929,0.3622576594352722,front_wide_s9841,aligned_ic_frontier
"TsWMA(ma250,50)",-0.0851428383126854,-0.0821993842720985,0.0194672886282205,0.0029434540405869,120,1.0,-0.0295627396553754,-0.0111502828076481,-0.1400477465607222,0.5433353185653687,0.4861573576927185,front_wide_s9841,aligned_ic_frontier
